2455.TW, RSI(talib): 67.01058565425274
2368.TW, RSI(talib): 63.41733029010591
2442.TW, RSI(talib): 85.93207958646877
1477.TW, RSI(talib): 60.6764312424111
1319.TW, RSI(talib): 65.982427539459
1560.TW, RSI(talib): 64.98591508047437
1514.TW, RSI(talib): 65.95578591382798
3661.TW, RSI(talib): 62.563080539343694
2345.TW, RSI(talib): 63.77687102987654
2105.TW, RSI(talib): 61.67512724960444
2363.TW, RSI(talib): 63.10498979456861
2059.TW, RSI(talib): 63.72264168616958
1522.TW, RSI(talib): 65.54688792819485
8081.TW, RSI(talib): 65.08327983825232
8112.TW, RSI(talib): 64.99195187130027
6605.TW, RSI(talib): 66.03411570437015
2385.TW, RSI(talib): 60.682559555600754
2486.TW, RSI(talib): 63.319905788437914
6117.TW, RSI(talib): 78.87685440339432
3346.TW, RSI(talib): 60.828749657857664
5225.TW, RSI(talib): 75.4802025772754
1519.TW, RSI(talib): 62.23441070717472
4763.TW, RSI(talib): 66.6071461941777
6442.TW, RSI(talib): 61.252966460211525
2530.TW, RSI(talib): 64.90137123678772
6139.TW, RSI(talib): 65.67060278956076
3051.TW, RSI(talib): 60.02179266151617
3715.TW, RSI(talib): 74.72980389828379
6112.TW, RSI(talib): 60.660264941575406
3032.TW, RSI(talib): 62.26908381800258
3617.TW, RSI(talib): 62.18132462258013
8271.TW, RSI(talib): 61.91062484507637
3055.TW, RSI(talib): 64.53525042627852
1603.TW, RSI(talib): 67.10356028535168
6451.TW, RSI(talib): 78.19715544051891
6189.TW, RSI(talib): 60.435854719738266
2025.TW, RSI(talib): 63.39677005556423
3450.TW, RSI(talib): 75.95968435271766
2543.TW, RSI(talib): 65.16337545649567
3694.TW, RSI(talib): 64.66325090155554
6585.TW, RSI(talib): 68.60966050101496
1324.TW, RSI(talib): 68.81561995290649
6108.TW, RSI(talib): 61.865923843935754
2365.TW, RSI(talib): 71.79279628021591
--------------
2489.TW failed (index 0 is out of bounds for axis 0 with size 0).
