--------------
Thu Apr 11 19:04:22 2024 US Stock List
--------------
AMZN, RSI(talib): 66.61469379425434
GOOG, RSI(talib): 64.1175568143691
GOOGL, RSI(talib): 63.480723886865356
META, RSI(talib): 60.79220126194526
MU, RSI(talib): 68.83244064634107
CTAS, RSI(talib): 61.06728887155518
CEG, RSI(talib): 67.20880525699498
GE, RSI(talib): 75.52223653302045
FANG, RSI(talib): 78.10759240763838
GD, RSI(talib): 63.98063316916329
--------------
