NVDA, RSI(talib): 60.83967682365128
GOOG, RSI(talib): 62.438119782876946
GOOGL, RSI(talib): 61.8870196985779
CSCO, RSI(talib): 72.40352016656504
ATVI, RSI(talib): 62.38116788814354
CTSH, RSI(talib): 61.063333500620075
ODFL, RSI(talib): 60.06925792558731
LLY, RSI(talib): 77.13250168083674
MA, RSI(talib): 60.74355265471555
BKR, RSI(talib): 60.19949417502447
ODFL, RSI(talib): 60.06925792558731
--------------
