--------------
Tue Oct 29 19:20:48 2024 US Stock List
--------------
TSLA, RSI(talib): 63.96271171505881
NVDA, RSI(talib): 62.151697282540574
TMUS, RSI(talib): 67.20428092896688
PYPL, RSI(talib): 67.45107185297694
BKNG, RSI(talib): 63.73933717583474
MRVL, RSI(talib): 65.2065548283835
DOCU, RSI(talib): 60.38444694353197
BAC, RSI(talib): 61.0298828766723
DAL, RSI(talib): 67.42012916066584
WMT, RSI(talib): 61.66593341710288
TTD, RSI(talib): 65.85389037026438
--------------
