--------------
Mon Nov  4 20:26:21 2024 US Stock List
--------------
AMZN, RSI(talib): 64.36335246406128
CHTR, RSI(talib): 70.08437232883117
BKNG, RSI(talib): 85.10712636517506
MRVL, RSI(talib): 63.73101165566559
CTSH, RSI(talib): 41.495807984725175
XEL, RSI(talib): 64.46441757375024
DOCU, RSI(talib): 64.50418129726077
DAL, RSI(talib): 71.02318999917355
TTD, RSI(talib): 61.02053089887033
--------------
