--------------
Wed Dec 18 19:41:17 2024 US Stock List
--------------
AAPL, RSI(talib): 78.43133391044947
AMZN, RSI(talib): 69.61733493563567
GOOG, RSI(talib): 69.90821473629391
GOOGL, RSI(talib): 69.44644505623391
COST, RSI(talib): 60.163715655943875
NFLX, RSI(talib): 64.06094392008029
PYPL, RSI(talib): 62.300123605087855
FTNT, RSI(talib): 60.1296098361146
NOW, RSI(talib): 62.46143163350207
WMT, RSI(talib): 72.5207941004288
--------------
