--------------
Tue Nov  5 19:07:12 2024 US Stock List
--------------
NFLX, RSI(talib): 60.521129355635026
TMUS, RSI(talib): 61.787388915209405
INTU, RSI(talib): 53.08139823272329
CHTR, RSI(talib): 73.10522250767131
BKNG, RSI(talib): 86.62378796615852
MRVL, RSI(talib): 63.931132195580595
DAL, RSI(talib): 63.76646319719359
NOW, RSI(talib): 61.92497050530752
BKR, RSI(talib): 62.491918162980795
--------------
