2891.TW, Close: 28.40, RSI(talib): 61.08
2353.TW, Close: 48.45, RSI(talib): 62.98
9958.TW, Close: 183.50, RSI(talib): 61.27
3035.TW, Close: 377.00, RSI(talib): 61.05
6176.TW, Close: 139.00, RSI(talib): 65.17
6531.TW, Close: 484.50, RSI(talib): 68.19
6213.TW, Close: 87.10, RSI(talib): 61.96
2607.TW, Close: 34.60, RSI(talib): 67.21
1722.TW, Close: 68.00, RSI(talib): 61.98
2515.TW, Close: 13.50, RSI(talib): 64.31
2442.TW, Close: 25.25, RSI(talib): 66.19
2611.TW, Close: 17.65, RSI(talib): 71.93
6005.TW, Close: 16.30, RSI(talib): 61.47
2520.TW, Close: 40.80, RSI(talib): 71.92
6412.TW, Close: 146.50, RSI(talib): 61.32
2385.TW, Close: 179.50, RSI(talib): 61.14
3167.TW, Close: 55.30, RSI(talib): 67.92
1432.TW, Close: 19.40, RSI(talib): 66.01
4746.TW, Close: 103.00, RSI(talib): 65.24
6117.TW, Close: 75.80, RSI(talib): 61.68
5225.TW, Close: 71.10, RSI(talib): 76.41
1532.TW, Close: 41.65, RSI(talib): 60.48
2530.TW, Close: 35.70, RSI(talib): 77.41
1612.TW, Close: 28.30, RSI(talib): 69.11
6139.TW, Close: 166.50, RSI(talib): 60.57
6756.TW, Close: 260.50, RSI(talib): 63.10
3032.TW, Close: 77.00, RSI(talib): 68.49
9934.TW, Close: 16.05, RSI(talib): 70.69
8011.TW, Close: 22.60, RSI(talib): 70.91
2211.TW, Close: 103.00, RSI(talib): 63.69
2537.TW, Close: 9.80, RSI(talib): 69.69
3588.TW, Close: 90.60, RSI(talib): 66.37
6695.TW, Close: 79.50, RSI(talib): 75.36
2467.TW, Close: 69.50, RSI(talib): 66.81
5515.TW, Close: 17.90, RSI(talib): 63.23
2362.TW, Close: 47.75, RSI(talib): 73.15
8467.TW, Close: 162.50, RSI(talib): 69.84
--------------
2363.TW failed (inputs are all NaN).
