2324.TW, RSI(talib): 60.5020497214924
2356.TW, RSI(talib): 62.01675005348258
2618.TW, RSI(talib): 61.84578978842451
9958.TW, RSI(talib): 77.74362609385564
2301.TW, RSI(talib): 61.74293457389805
2330.TW, RSI(talib): 60.10886949195129
2382.TW, RSI(talib): 70.63467462216532
1513.TW, RSI(talib): 72.6205067238443
2317.TW, RSI(talib): 60.1465983652145
2610.TW, RSI(talib): 62.38592612457262
2377.TW, RSI(talib): 61.44434979528
2886.TW, RSI(talib): 67.2588379428887
3035.TW, RSI(talib): 77.06222284638584
1789.TW, RSI(talib): 73.75512177650214
4106.TW, RSI(talib): 79.89394997554051
2323.TW, RSI(talib): 66.65587753598375
2340.TW, RSI(talib): 63.93851783077855
2376.TW, RSI(talib): 64.46641720967007
3532.TW, RSI(talib): 60.10406939171317
2329.TW, RSI(talib): 60.38901105135436
2368.TW, RSI(talib): 71.1190425088514
3017.TW, RSI(talib): 73.92357202184022
3596.TW, RSI(talib): 72.61260995133465
2812.TW, RSI(talib): 75.59349692118761
2371.TW, RSI(talib): 80.35164133138309
1609.TW, RSI(talib): 62.361913175536955
1217.TW, RSI(talib): 76.44504356519053
1477.TW, RSI(talib): 82.68917891651513
3231.TW, RSI(talib): 75.79978545135283
2383.TW, RSI(talib): 67.86198785994938
1533.TW, RSI(talib): 67.90738966070603
3704.TW, RSI(talib): 66.87841160674766
2010.TW, RSI(talib): 83.09521923896011
6239.TW, RSI(talib): 66.73507314747957
1514.TW, RSI(talib): 65.32787370115476
4927.TW, RSI(talib): 60.68945588275471
5706.TW, RSI(talib): 61.23741783911464
3661.TW, RSI(talib): 61.38049694393403
6235.TW, RSI(talib): 65.42977331441774
3653.TW, RSI(talib): 62.04740816296693
2449.TW, RSI(talib): 66.67046480963987
1808.TW, RSI(talib): 61.051503830668565
6191.TW, RSI(talib): 76.33959150126628
4104.TW, RSI(talib): 70.06965587487151
2352.TW, RSI(talib): 62.68459752738376
3443.TW, RSI(talib): 61.641387717223594
8215.TW, RSI(talib): 64.50207440435418
9919.TW, RSI(talib): 60.161308966643226
3702.TW, RSI(talib): 67.53562987958703
1522.TW, RSI(talib): 71.22852793639727
2425.TW, RSI(talib): 69.265477531858
3673.TW, RSI(talib): 61.185504390579645
2206.TW, RSI(talib): 60.500944256999325
6669.TW, RSI(talib): 71.71000866634186
2360.TW, RSI(talib): 66.13153423463156
8996.TW, RSI(talib): 67.20322296519251
3013.TW, RSI(talib): 64.64232869707897
3356.TW, RSI(talib): 83.6266253137876
6605.TW, RSI(talib): 63.41611097545496
2428.TW, RSI(talib): 60.81370195440905
6412.TW, RSI(talib): 61.70349274937613
1528.TW, RSI(talib): 67.3263518457485
6120.TW, RSI(talib): 74.21180060596686
3038.TW, RSI(talib): 67.32120530455322
1471.TW, RSI(talib): 74.41121630651482
2486.TW, RSI(talib): 73.28357450202758
2421.TW, RSI(talib): 63.96122406744029
2419.TW, RSI(talib): 83.10146725385083
8105.TW, RSI(talib): 69.2258433153614
2332.TW, RSI(talib): 62.9161589428152
6117.TW, RSI(talib): 67.89148214595633
8926.TW, RSI(talib): 60.44175781254074
3591.TW, RSI(talib): 66.19676105683962
3027.TW, RSI(talib): 71.43095981190557
6197.TW, RSI(talib): 67.53137140683985
3380.TW, RSI(talib): 62.36932223745091
3515.TW, RSI(talib): 68.1542752033035
2485.TW, RSI(talib): 68.9420990404358
3346.TW, RSI(talib): 68.84380879990033
3046.TW, RSI(talib): 60.59930505628668
3025.TW, RSI(talib): 61.35871134708676
1337.TW, RSI(talib): 73.30727356015505
2441.TW, RSI(talib): 60.02514577510721
6592.TW, RSI(talib): 69.7482816351026
4155.TW, RSI(talib): 71.31614474404242
2402.TW, RSI(talib): 61.74563496734804
2468.TW, RSI(talib): 72.26958302417495
8210.TW, RSI(talib): 77.51759688619134
4164.TW, RSI(talib): 69.1251767875236
2451.TW, RSI(talib): 64.23464315471882
6139.TW, RSI(talib): 60.86259301909348
2539.TW, RSI(talib): 63.380852906762584
6142.TW, RSI(talib): 61.47284074357727
6691.TW, RSI(talib): 66.64232004035601
2393.TW, RSI(talib): 68.7313193257046
8110.TW, RSI(talib): 62.86105184142172
1229.TW, RSI(talib): 75.504996829047
6243.TW, RSI(talib): 65.78803479881458
2399.TW, RSI(talib): 66.3891787894214
3652.TW, RSI(talib): 61.90865222427499
6112.TW, RSI(talib): 62.06891549085412
5469.TW, RSI(talib): 77.41162265315369
3617.TW, RSI(talib): 66.17579985150147
1608.TW, RSI(talib): 60.112810107411555
5234.TW, RSI(talib): 65.65262777477072
3583.TW, RSI(talib): 66.85342091920128
1460.TW, RSI(talib): 63.79081416471515
2630.TW, RSI(talib): 62.6518144033804
2015.TW, RSI(talib): 61.303372093186084
1525.TW, RSI(talib): 63.61158527145181
2705.TW, RSI(talib): 60.34450422784059
2211.TW, RSI(talib): 62.71996485807739
3055.TW, RSI(talib): 61.57896314135001
6166.TW, RSI(talib): 69.18453503083751
4526.TW, RSI(talib): 63.65761376059078
1603.TW, RSI(talib): 81.71427630652785
2704.TW, RSI(talib): 61.97044430592255
6451.TW, RSI(talib): 85.85432646646876
2369.TW, RSI(talib): 60.15543059725598
--------------
6442.TW failed ('NoneType' object has no attribute 'text').
