2353.TW, RSI(talib): 60.06464638945559
9958.TW, RSI(talib): 69.10872509443256
2455.TW, RSI(talib): 73.30397442365279
2357.TW, RSI(talib): 61.66949359600847
3035.TW, RSI(talib): 66.17376109057376
2897.TW, RSI(talib): 64.94049789592485
2359.TW, RSI(talib): 62.10069666079758
2368.TW, RSI(talib): 63.22776688722372
3596.TW, RSI(talib): 68.4216333321656
2006.TW, RSI(talib): 63.967655766969244
3044.TW, RSI(talib): 66.2293887293488
5388.TW, RSI(talib): 63.95678032835406
1477.TW, RSI(talib): 66.44648537082017
6285.TW, RSI(talib): 71.05436722854061
2383.TW, RSI(talib): 64.90985577902644
1319.TW, RSI(talib): 71.69076727227115
5258.TW, RSI(talib): 62.05610796078397
2492.TW, RSI(talib): 81.424589253375
3661.TW, RSI(talib): 65.65080375871727
2031.TW, RSI(talib): 63.62796147752675
2345.TW, RSI(talib): 63.96183195539377
2436.TW, RSI(talib): 68.6029419108891
2379.TW, RSI(talib): 68.98939536524887
3034.TW, RSI(talib): 66.4994350568496
2449.TW, RSI(talib): 69.43345750091076
4906.TW, RSI(talib): 65.77104948311423
1808.TW, RSI(talib): 67.32165762439669
6191.TW, RSI(talib): 68.4324136159131
9919.TW, RSI(talib): 63.473857590596616
2363.TW, RSI(talib): 76.1861926269714
3011.TW, RSI(talib): 60.524639503154795
2458.TW, RSI(talib): 72.99252769664221
8081.TW, RSI(talib): 80.07184946761966
2204.TW, RSI(talib): 70.12495831945718
5285.TW, RSI(talib): 65.66496256688892
3005.TW, RSI(talib): 60.72682195970268
6117.TW, RSI(talib): 70.66724911434656
2485.TW, RSI(talib): 80.71013512228488
4967.TW, RSI(talib): 62.287027529938364
5225.TW, RSI(talib): 71.76846778336497
1519.TW, RSI(talib): 65.10927896147383
4763.TW, RSI(talib): 68.90964323101136
1449.TW, RSI(talib): 65.38532163781275
2402.TW, RSI(talib): 67.2340296653734
2355.TW, RSI(talib): 66.12995552703921
6139.TW, RSI(talib): 60.51164069381307
1618.TW, RSI(talib): 64.83919102581247
3051.TW, RSI(talib): 61.11341238809309
8110.TW, RSI(talib): 72.85241207800206
6243.TW, RSI(talib): 71.45922062198818
6756.TW, RSI(talib): 62.61327047644405
3715.TW, RSI(talib): 85.87369054601915
6209.TW, RSI(talib): 70.11938614263464
5469.TW, RSI(talib): 71.02165237654584
1616.TW, RSI(talib): 63.51029576325381
3014.TW, RSI(talib): 64.10570631470827
3308.TW, RSI(talib): 67.08740653175347
8271.TW, RSI(talib): 61.806506569906425
2316.TW, RSI(talib): 60.4749075373294
4766.TW, RSI(talib): 72.79955804693734
3257.TW, RSI(talib): 65.82486329846002
9927.TW, RSI(talib): 71.60694441390302
6672.TW, RSI(talib): 63.32313342897453
2516.TW, RSI(talib): 67.37504942345478
2816.TW, RSI(talib): 89.39070624350583
1307.TW, RSI(talib): 67.96920873740294
3622.TW, RSI(talib): 70.40856543988474
--------------
1718.TW failed (inputs are all NaN).
3617.TW failed ('NoneType' object has no attribute 'text').
