2324.TW, RSI(talib): 75.52000295683773
2409.TW, RSI(talib): 60.48416712866811
2356.TW, RSI(talib): 84.56457255273853
2891.TW, RSI(talib): 68.75011638062404
9958.TW, RSI(talib): 75.2743531275457
2301.TW, RSI(talib): 81.33517054845046
2330.TW, RSI(talib): 64.4998227223864
2382.TW, RSI(talib): 78.27981847683031
2881.TW, RSI(talib): 72.23747911155552
1513.TW, RSI(talib): 70.10856747425923
2354.TW, RSI(talib): 63.63608224720967
3481.TW, RSI(talib): 64.32699805256193
2027.TW, RSI(talib): 60.9963232704417
6116.TW, RSI(talib): 64.00628483002775
2377.TW, RSI(talib): 67.11494231374593
2887.TW, RSI(talib): 61.404261563122105
2886.TW, RSI(talib): 64.00768653542335
3035.TW, RSI(talib): 89.13431310247672
1789.TW, RSI(talib): 76.25050217771496
2323.TW, RSI(talib): 60.80617496177232
2340.TW, RSI(talib): 76.71019659253135
2481.TW, RSI(talib): 71.18859936424505
2376.TW, RSI(talib): 70.81861448100703
2329.TW, RSI(talib): 82.0103882563335
4934.TW, RSI(talib): 68.92760557817907
2359.TW, RSI(talib): 64.23641011462534
4938.TW, RSI(talib): 71.4092670164566
2368.TW, RSI(talib): 74.58882584787807
3017.TW, RSI(talib): 65.66481854211708
3645.TW, RSI(talib): 80.57326187633713
2401.TW, RSI(talib): 64.82396670769981
2812.TW, RSI(talib): 75.23144437678896
5388.TW, RSI(talib): 65.09957249876639
1609.TW, RSI(talib): 60.41247722115335
1217.TW, RSI(talib): 64.99046309283099
1477.TW, RSI(talib): 65.13848153383385
3231.TW, RSI(talib): 84.86426986495138
2383.TW, RSI(talib): 81.3070552098649
3704.TW, RSI(talib): 84.32775631427695
5258.TW, RSI(talib): 75.59657728267693
2492.TW, RSI(talib): 62.77783411313519
6239.TW, RSI(talib): 75.34296520298184
1514.TW, RSI(talib): 73.17220522092448
4927.TW, RSI(talib): 60.61044577709115
2388.TW, RSI(talib): 89.94381535925166
2345.TW, RSI(talib): 64.92771336657293
2308.TW, RSI(talib): 62.37816506858952
3712.TW, RSI(talib): 63.15391346773181
6005.TW, RSI(talib): 65.09084240040464
2436.TW, RSI(talib): 66.51483425794723
6282.TW, RSI(talib): 67.6238350123662
2379.TW, RSI(talib): 64.23200241272478
2449.TW, RSI(talib): 75.4480299482421
6191.TW, RSI(talib): 80.79748703863937
6257.TW, RSI(talib): 71.73110091603141
2352.TW, RSI(talib): 85.87370204138331
3443.TW, RSI(talib): 64.59719515156971
8215.TW, RSI(talib): 66.93618231531552
3706.TW, RSI(talib): 84.42219255180117
1210.TW, RSI(talib): 70.08261902730194
3702.TW, RSI(talib): 74.68879758289405
2059.TW, RSI(talib): 84.23322775946775
1104.TW, RSI(talib): 62.62565689259208
2425.TW, RSI(talib): 76.00335462662956
2458.TW, RSI(talib): 62.77728787137279
6669.TW, RSI(talib): 77.48568398881675
1773.TW, RSI(talib): 66.64888125491758
9941.TW, RSI(talib): 75.54603069370432
9914.TW, RSI(talib): 60.57486884232747
3013.TW, RSI(talib): 76.92495813821267
3356.TW, RSI(talib): 64.1244032203219
2314.TW, RSI(talib): 64.24681241686307
2428.TW, RSI(talib): 63.56943020216789
2328.TW, RSI(talib): 66.28726792674408
2233.TW, RSI(talib): 65.45778283987028
6414.TW, RSI(talib): 66.02292822815114
3607.TW, RSI(talib): 69.9921279210178
5285.TW, RSI(talib): 60.06628524256151
6120.TW, RSI(talib): 81.22538744337571
2395.TW, RSI(talib): 66.70990085619404
2486.TW, RSI(talib): 64.81354640513605
2421.TW, RSI(talib): 63.71869168093001
2392.TW, RSI(talib): 68.37593119648677
3005.TW, RSI(talib): 61.97457239136932
4746.TW, RSI(talib): 65.79869309854173
6117.TW, RSI(talib): 73.21330824961262
2420.TW, RSI(talib): 74.34993639418039
6197.TW, RSI(talib): 72.4558548253483
3380.TW, RSI(talib): 67.63441300114238
3515.TW, RSI(talib): 74.415030885758
3024.TW, RSI(talib): 67.60598523581932
3346.TW, RSI(talib): 66.53880584808891
3025.TW, RSI(talib): 62.08694254665601
1519.TW, RSI(talib): 84.39680656269832
2441.TW, RSI(talib): 79.70552075894177
4763.TW, RSI(talib): 77.54153758127352
6442.TW, RSI(talib): 84.68711421872386
3305.TW, RSI(talib): 86.9476300140265
1529.TW, RSI(talib): 66.18509875305321
6592.TW, RSI(talib): 82.57108114750164
3033.TW, RSI(talib): 81.58702564348292
2402.TW, RSI(talib): 63.10304922100194
5607.TW, RSI(talib): 68.84221463077361
2495.TW, RSI(talib): 62.296977808473585
2355.TW, RSI(talib): 72.94628089437576
8210.TW, RSI(talib): 73.54464094766591
6139.TW, RSI(talib): 74.7929096790736
1618.TW, RSI(talib): 74.88758866903478
2851.TW, RSI(talib): 71.79990803000874
2539.TW, RSI(talib): 76.82917941407536
3051.TW, RSI(talib): 81.74894650074566
1503.TW, RSI(talib): 63.51134240245238
2393.TW, RSI(talib): 65.92731056621093
1229.TW, RSI(talib): 77.1690366126147
2399.TW, RSI(talib): 71.77420146877353
3338.TW, RSI(talib): 75.9328594765479
3715.TW, RSI(talib): 61.20056254310051
5469.TW, RSI(talib): 83.4001332010983
1535.TW, RSI(talib): 70.70549641893132
5234.TW, RSI(talib): 86.14378148848074
3583.TW, RSI(talib): 76.22694150031572
1515.TW, RSI(talib): 63.93302989444947
3014.TW, RSI(talib): 69.52733157886539
8011.TW, RSI(talib): 70.63606379620138
4581.TW, RSI(talib): 63.197998948619436
6166.TW, RSI(talib): 61.89922218318894
4526.TW, RSI(talib): 60.11740461871026
1603.TW, RSI(talib): 63.17461679369833
4532.TW, RSI(talib): 67.81924833094348
6451.TW, RSI(talib): 78.2645662289187
2369.TW, RSI(talib): 72.84838574642045
2855.TW, RSI(talib): 74.05744043316061
3518.TW, RSI(talib): 79.32390989136331
--------------
2104.TW failed (inputs are all NaN).
