2324.TW, RSI(talib): 66.46114308900667
2356.TW, RSI(talib): 70.78551864900913
2618.TW, RSI(talib): 63.08767944641844
9958.TW, RSI(talib): 71.80060544518446
2301.TW, RSI(talib): 74.71238117646081
2330.TW, RSI(talib): 64.99112745464247
2382.TW, RSI(talib): 78.62351508752033
1513.TW, RSI(talib): 65.70341879761247
2027.TW, RSI(talib): 63.89492259430865
2610.TW, RSI(talib): 63.68661869901294
2377.TW, RSI(talib): 63.479250180829226
2886.TW, RSI(talib): 69.84140603736829
3035.TW, RSI(talib): 88.35427401833607
1789.TW, RSI(talib): 67.1343361937759
4106.TW, RSI(talib): 68.22344447255195
2323.TW, RSI(talib): 71.0164655863023
2340.TW, RSI(talib): 66.75626939907013
2376.TW, RSI(talib): 74.06502997111599
2329.TW, RSI(talib): 77.6878825290384
4934.TW, RSI(talib): 62.81306704296383
2368.TW, RSI(talib): 77.44839542000429
3017.TW, RSI(talib): 77.99643572125268
2351.TW, RSI(talib): 65.96063722877017
3596.TW, RSI(talib): 78.06795629098153
6806.TW, RSI(talib): 68.34135006188413
3645.TW, RSI(talib): 61.23533709686746
2617.TW, RSI(talib): 66.6496116131325
2401.TW, RSI(talib): 64.7503867432778
4755.TW, RSI(talib): 61.42440028296407
2812.TW, RSI(talib): 81.6816453782422
2371.TW, RSI(talib): 79.76321153735726
1217.TW, RSI(talib): 65.45347900807799
1477.TW, RSI(talib): 85.03586522787728
6285.TW, RSI(talib): 72.5277133476972
3231.TW, RSI(talib): 83.0694425519712
2383.TW, RSI(talib): 76.06258517507763
1533.TW, RSI(talib): 64.68179379550617
2331.TW, RSI(talib): 63.164762015873166
3704.TW, RSI(talib): 78.65333356199858
2010.TW, RSI(talib): 87.58048233603594
5258.TW, RSI(talib): 64.04527727733088
6239.TW, RSI(talib): 71.77196568168519
1514.TW, RSI(talib): 63.41636740332998
4927.TW, RSI(talib): 76.4312649280671
2820.TW, RSI(talib): 62.86467589075792
3661.TW, RSI(talib): 67.43813420638477
