9958.TW, RSI(talib): 72.95206153789722
2408.TW, RSI(talib): 63.20522269007719
2455.TW, RSI(talib): 67.11939229493527
2886.TW, RSI(talib): 62.24844926848515
6531.TW, RSI(talib): 60.31867607080934
3596.TW, RSI(talib): 78.28742447592768
2006.TW, RSI(talib): 76.61867390722371
2344.TW, RSI(talib): 60.276740887135546
3044.TW, RSI(talib): 68.17041827241704
2515.TW, RSI(talib): 60.02885987155715
5388.TW, RSI(talib): 68.69142444539729
6285.TW, RSI(talib): 78.5544373142225
2201.TW, RSI(talib): 61.49145184830856
1319.TW, RSI(talib): 81.9085828298969
2492.TW, RSI(talib): 60.331572359452025
3661.TW, RSI(talib): 62.07307882221631
2031.TW, RSI(talib): 65.24125445021885
2345.TW, RSI(talib): 64.5703027636922
3034.TW, RSI(talib): 66.5088872715651
2449.TW, RSI(talib): 63.76265909763285
1808.TW, RSI(talib): 60.22702217840548
6191.TW, RSI(talib): 69.35435178285567
4104.TW, RSI(talib): 61.37727717240505
2105.TW, RSI(talib): 79.18981641589885
2363.TW, RSI(talib): 63.72020375167281
1522.TW, RSI(talib): 83.95601293332876
2458.TW, RSI(talib): 69.50969335966987
8081.TW, RSI(talib): 87.77968408924308
8112.TW, RSI(talib): 65.0992108289172
2405.TW, RSI(talib): 60.501131901064085
6605.TW, RSI(talib): 63.28023008907001
1459.TW, RSI(talib): 77.85439908332783
3005.TW, RSI(talib): 71.37765801716938
5225.TW, RSI(talib): 66.32029562803673
2539.TW, RSI(talib): 66.67578776182418
1809.TW, RSI(talib): 65.02983197912354
2462.TW, RSI(talib): 64.36046376529781
2427.TW, RSI(talib): 66.55160302156037
3715.TW, RSI(talib): 73.74026441610017
3032.TW, RSI(talib): 61.10645597421698
5469.TW, RSI(talib): 71.97603141801973
3617.TW, RSI(talib): 71.37588014642843
9934.TW, RSI(talib): 60.464319388685006
1515.TW, RSI(talib): 63.43084869243643
3014.TW, RSI(talib): 74.32217169010707
8011.TW, RSI(talib): 71.89514390898324
1310.TW, RSI(talib): 66.87079202868446
8271.TW, RSI(talib): 67.30831446037998
6451.TW, RSI(talib): 74.59319549431311
9927.TW, RSI(talib): 65.60525208802197
2816.TW, RSI(talib): 68.53775600529256
1307.TW, RSI(talib): 61.46516280824126
2025.TW, RSI(talib): 81.8074646015286
3450.TW, RSI(talib): 72.23999666337292
--------------
2354.TW failed (inputs are all NaN).
9945.TW failed (index 0 is out of bounds for axis 0 with size 0).
3025.TW failed (inputs are all NaN).
