2882.TW, RSI(talib): 61.775535940710526
2382.TW, RSI(talib): 63.19783953371114
2881.TW, RSI(talib): 60.671657117615126
2357.TW, RSI(talib): 63.2822752552872
5880.TW, RSI(talib): 65.45421579492245
2329.TW, RSI(talib): 76.44826313315443
3017.TW, RSI(talib): 66.7564827018569
3645.TW, RSI(talib): 61.07462410103368
2006.TW, RSI(talib): 66.40374840775105
1710.TW, RSI(talib): 61.154997305404514
2913.TW, RSI(talib): 61.66371238529813
3044.TW, RSI(talib): 69.77665653046091
2404.TW, RSI(talib): 68.24943666607575
1217.TW, RSI(talib): 75.47047460308501
6285.TW, RSI(talib): 64.63702595715927
2383.TW, RSI(talib): 82.55105242132731
3036.TW, RSI(talib): 61.409538586682146
2031.TW, RSI(talib): 76.42679373471968
2888.TW, RSI(talib): 65.91555662834027
2449.TW, RSI(talib): 60.87530562184521
9919.TW, RSI(talib): 66.5261504954171
2059.TW, RSI(talib): 60.039145791024616
2425.TW, RSI(talib): 62.355401686878686
8081.TW, RSI(talib): 70.90474162149631
6605.TW, RSI(talib): 63.399893482144506
2428.TW, RSI(talib): 65.60626227999529
6412.TW, RSI(talib): 66.96152916896675
6196.TW, RSI(talib): 60.488573258565424
5285.TW, RSI(talib): 63.80932351422509
2421.TW, RSI(talib): 62.65573252805119
3029.TW, RSI(talib): 66.07051284358096
3024.TW, RSI(talib): 65.89694103479589
2441.TW, RSI(talib): 60.6945368442579
4763.TW, RSI(talib): 68.52016265463489
1532.TW, RSI(talib): 62.95785594454498
2530.TW, RSI(talib): 73.44025577328593
4572.TW, RSI(talib): 65.18610460272407
2402.TW, RSI(talib): 61.781612698670926
1618.TW, RSI(talib): 61.89771271444221
2851.TW, RSI(talib): 65.70515965262996
2539.TW, RSI(talib): 71.63320057098723
2462.TW, RSI(talib): 72.04859644714257
5203.TW, RSI(talib): 61.98624898062327
3004.TW, RSI(talib): 67.25060776373734
3092.TW, RSI(talib): 65.24693045788513
3583.TW, RSI(talib): 67.07012273472309
1515.TW, RSI(talib): 62.275823508986186
2461.TW, RSI(talib): 63.13763915719449
3014.TW, RSI(talib): 60.59158265031122
3308.TW, RSI(talib): 62.87580514332447
1310.TW, RSI(talib): 64.12494851843128
3055.TW, RSI(talib): 60.52100105377703
2855.TW, RSI(talib): 68.26436351293546
3518.TW, RSI(talib): 61.01979072228403
2316.TW, RSI(talib): 70.69598043646427
3257.TW, RSI(talib): 60.17499243883415
9927.TW, RSI(talib): 64.33155467209204
--------------
