9958.TW, RSI(talib): 67.66638576408877
2886.TW, RSI(talib): 62.7273326789753
6531.TW, RSI(talib): 64.19419708853833
3596.TW, RSI(talib): 70.40290148035598
2006.TW, RSI(talib): 71.32772542759568
3044.TW, RSI(talib): 60.68790307888846
5388.TW, RSI(talib): 61.312083436223354
6285.TW, RSI(talib): 66.749588939978
1319.TW, RSI(talib): 77.21342083542699
2031.TW, RSI(talib): 65.97353965335286
1808.TW, RSI(talib): 61.4064791266931
6191.TW, RSI(talib): 62.051777861108704
4104.TW, RSI(talib): 60.122240795079605
2105.TW, RSI(talib): 72.95346057637028
2363.TW, RSI(talib): 61.78841052009876
1522.TW, RSI(talib): 80.22634360872898
2458.TW, RSI(talib): 62.785400712669784
8081.TW, RSI(talib): 77.25742521231876
8112.TW, RSI(talib): 61.58764891556744
6605.TW, RSI(talib): 67.66677218472076
2385.TW, RSI(talib): 69.87880550987946
3005.TW, RSI(talib): 67.99918303646966
5225.TW, RSI(talib): 60.73225382154628
2539.TW, RSI(talib): 71.52709049363523
2462.TW, RSI(talib): 60.93097683366857
3715.TW, RSI(talib): 60.74894531275563
3032.TW, RSI(talib): 63.35245048942107
5469.TW, RSI(talib): 61.244596987968926
3617.TW, RSI(talib): 72.72858832356826
3092.TW, RSI(talib): 67.37498256393872
1515.TW, RSI(talib): 62.2328440618036
3014.TW, RSI(talib): 69.31447240285912
8011.TW, RSI(talib): 61.34655871962005
1310.TW, RSI(talib): 64.1316301316782
8271.TW, RSI(talib): 60.29145798693952
6451.TW, RSI(talib): 71.3170192174282
9927.TW, RSI(talib): 60.44477859479939
2537.TW, RSI(talib): 81.75860864666821
2816.TW, RSI(talib): 68.65527405511632
2025.TW, RSI(talib): 78.78672847740255
3450.TW, RSI(talib): 66.34742825881278
--------------
3645.TW failed (HTTPSConnectionPool(host='finance.yahoo.com', port=443): Read timed out. (read timeout=None)).
9945.TW failed (index 0 is out of bounds for axis 0 with size 0).
