8210.TW O, RSI(talib): 53.00021474658614, RSI(def): 54.904304154859474
4164.TW O, RSI(talib): 74.34894754274598, RSI(def): 74.61165655419354
1417.TW O, RSI(talib): 49.152523136128245, RSI(def): 40.19773809345535
6409.TW O, RSI(talib): 46.07493762651444, RSI(def): 46.022255611314726
6782.TW O, RSI(talib): 52.07345344740427, RSI(def): 55.334267838525484
1707.TW O, RSI(talib): 56.53364464058307, RSI(def): 63.26088488835602
6139.TW O, RSI(talib): 44.58984169176668, RSI(def): 39.21552885214412
4916.TW O, RSI(talib): 58.38879394333516, RSI(def): 55.28045928453254
2444.TW O, RSI(talib): 37.174930052973906, RSI(def): 34.0847434489949
1752.TW O, RSI(talib): 55.261046043571994, RSI(def): 64.42253052891502
1720.TW O, RSI(talib): 53.13882085462793, RSI(def): 63.061202513603185
1618.TW O, RSI(talib): 45.78416138710891, RSI(def): 38.371862575418824
2539.TW O, RSI(talib): 76.14487603200801, RSI(def): 76.44353232183501
1512.TW O, RSI(talib): 66.98643574323656, RSI(def): 77.50023236996532
1783.TW O, RSI(talib): 62.486883417462025, RSI(def): 64.58730787042016
6142.TW O, RSI(talib): 74.29622550476728, RSI(def): 72.64815810415038
1809.TW O, RSI(talib): 56.64445547296757, RSI(def): 50.33634923880406
