2356.TW, RSI(talib): 89.06544668639789
3533.TW, RSI(talib): 63.4168495978642
2303.TW, RSI(talib): 61.916113431698705
4960.TW, RSI(talib): 66.02661556457346
2634.TW, RSI(talib): 66.4883373630367
6176.TW, RSI(talib): 62.87192645368259
2376.TW, RSI(talib): 65.50140461118066
2476.TW, RSI(talib): 65.71355076071421
3017.TW, RSI(talib): 78.33855317325839
3023.TW, RSI(talib): 62.52134230411431
2404.TW, RSI(talib): 67.24832233265353
2442.TW, RSI(talib): 67.76443890082533
1477.TW, RSI(talib): 60.798233655843944
6285.TW, RSI(talib): 62.994316483343546
3231.TW, RSI(talib): 90.23553094540507
2504.TW, RSI(talib): 65.36738315239526
5258.TW, RSI(talib): 60.42952781090006
3661.TW, RSI(talib): 79.30303487664457
2474.TW, RSI(talib): 62.98972664009176
2345.TW, RSI(talib): 68.0031193272282
1589.TW, RSI(talib): 74.38297782667225
2457.TW, RSI(talib): 75.97284541704457
3653.TW, RSI(talib): 70.84051958832065
8478.TW, RSI(talib): 70.86478848025178
3034.TW, RSI(talib): 66.54614055156219
4104.TW, RSI(talib): 67.21941284488298
1524.TW, RSI(talib): 64.33384599458704
3443.TW, RSI(talib): 65.42197867250867
2731.TW, RSI(talib): 60.31894006925742
1104.TW, RSI(talib): 63.51859292496695
6515.TW, RSI(talib): 73.46734757083378
6288.TW, RSI(talib): 66.99758857877397
6669.TW, RSI(talib): 75.96937467615822
2482.TW, RSI(talib): 74.3507731460163
3015.TW, RSI(talib): 75.66541208214088
3356.TW, RSI(talib): 62.34866995177447
8033.TW, RSI(talib): 61.18759572193247
6412.TW, RSI(talib): 64.35547973624203
6196.TW, RSI(talib): 65.44338144637844
5222.TW, RSI(talib): 71.34917344642065
2385.TW, RSI(talib): 61.89835772538261
3038.TW, RSI(talib): 72.79633096984406
2421.TW, RSI(talib): 82.6689910088623
3005.TW, RSI(talib): 70.96629510350827
3022.TW, RSI(talib): 63.14586054133269
3454.TW, RSI(talib): 60.87826081024791
2302.TW, RSI(talib): 64.39422890495521
3591.TW, RSI(talib): 60.39897250156861
3027.TW, RSI(talib): 61.073926855063235
6197.TW, RSI(talib): 61.954263628104364
8222.TW, RSI(talib): 67.46624116195812
3380.TW, RSI(talib): 63.90624439332855
3024.TW, RSI(talib): 66.5568341873666
2485.TW, RSI(talib): 70.02673298111186
3346.TW, RSI(talib): 63.15398676536403
2231.TW, RSI(talib): 63.71232618536641
3046.TW, RSI(talib): 73.53051541646688
5225.TW, RSI(talib): 66.24060357759681
1519.TW, RSI(talib): 62.887348395384755
2387.TW, RSI(talib): 78.41751069181544
2727.TW, RSI(talib): 81.53268991104726
1504.TW, RSI(talib): 83.12591728887246
6442.TW, RSI(talib): 64.36261562755412
1529.TW, RSI(talib): 75.51502989497897
6592.TW, RSI(talib): 63.31588466397673
4155.TW, RSI(talib): 67.59180437330151
2402.TW, RSI(talib): 89.83381894455471
5284.TW, RSI(talib): 71.53119617981406
5607.TW, RSI(talib): 66.96178663641315
2495.TW, RSI(talib): 62.587960464880645
6416.TW, RSI(talib): 71.65471517040318
3419.TW, RSI(talib): 62.70526720734667
4164.TW, RSI(talib): 63.58595500059594
2451.TW, RSI(talib): 72.43378272175337
6139.TW, RSI(talib): 67.35464188681942
4916.TW, RSI(talib): 60.74321778535232
2539.TW, RSI(talib): 61.74185953784212
1512.TW, RSI(talib): 77.55485109487064
1503.TW, RSI(talib): 62.14466324492114
2462.TW, RSI(talib): 63.071222012542385
6691.TW, RSI(talib): 62.16942713061473
2739.TW, RSI(talib): 63.13045180881384
2471.TW, RSI(talib): 73.48821577693728
2453.TW, RSI(talib): 77.4196576314189
3056.TW, RSI(talib): 89.45641007735465
4119.TW, RSI(talib): 60.29192914455015
3652.TW, RSI(talib): 71.01197065182305
5203.TW, RSI(talib): 80.31110320596999
--------------
