2301.TW, RSI(talib): 66.11153332992437
1513.TW, RSI(talib): 68.32704227236914
2634.TW, RSI(talib): 69.32490914128404
1506.TW, RSI(talib): 66.7871562168137
6176.TW, RSI(talib): 60.34695132414427
2834.TW, RSI(talib): 63.545099752923626
2897.TW, RSI(talib): 62.68151106406184
2329.TW, RSI(talib): 61.22090025707767
2404.TW, RSI(talib): 63.322637048747254
2442.TW, RSI(talib): 69.67412812816536
3231.TW, RSI(talib): 70.58857695845566
2504.TW, RSI(talib): 69.48755396693451
5258.TW, RSI(talib): 63.28454519126191
1514.TW, RSI(talib): 63.17464475460278
2457.TW, RSI(talib): 87.57750931302193
4104.TW, RSI(talib): 65.07941917286534
3443.TW, RSI(talib): 64.9823883638863
2017.TW, RSI(talib): 74.38483085731342
6515.TW, RSI(talib): 62.71531021516088
6669.TW, RSI(talib): 62.72819802304066
2482.TW, RSI(talib): 81.2928399971781
3015.TW, RSI(talib): 79.68540401463903
3356.TW, RSI(talib): 60.001759573948576
6605.TW, RSI(talib): 71.68443247271503
8033.TW, RSI(talib): 61.70523804395448
6412.TW, RSI(talib): 85.47797897305219
6196.TW, RSI(talib): 60.24035193529479
2385.TW, RSI(talib): 64.1638858447773
3038.TW, RSI(talib): 60.024542735103616
2421.TW, RSI(talib): 69.66345557481209
3005.TW, RSI(talib): 87.65359122920906
3454.TW, RSI(talib): 67.27523350378081
3591.TW, RSI(talib): 61.025357186621854
9939.TW, RSI(talib): 65.59899913697272
3027.TW, RSI(talib): 61.15886780200428
3029.TW, RSI(talib): 74.11995719660538
8222.TW, RSI(talib): 68.65873385245456
3380.TW, RSI(talib): 72.4511537252676
3024.TW, RSI(talib): 66.9686076624265
3346.TW, RSI(talib): 62.11064698602583
2231.TW, RSI(talib): 63.28493950108939
3046.TW, RSI(talib): 89.07051376849876
5225.TW, RSI(talib): 79.11562783259936
1519.TW, RSI(talib): 67.80442741848044
2727.TW, RSI(talib): 64.81039277718702
6592.TW, RSI(talib): 69.34443811353185
4155.TW, RSI(talib): 68.8490946484494
2402.TW, RSI(talib): 79.85146272351102
2413.TW, RSI(talib): 82.46645085760157
5284.TW, RSI(talib): 66.94457107326667
5607.TW, RSI(talib): 65.66838248164383
2495.TW, RSI(talib): 72.09541097063614
6416.TW, RSI(talib): 65.44114722337059
3419.TW, RSI(talib): 60.30327128705705
4164.TW, RSI(talib): 64.96139719741608
1707.TW, RSI(talib): 76.00446983421295
6139.TW, RSI(talib): 60.45798465135962
4916.TW, RSI(talib): 63.92577270896192
2903.TW, RSI(talib): 71.25774082235714
1512.TW, RSI(talib): 64.22051836758507
1503.TW, RSI(talib): 63.418400144522465
6691.TW, RSI(talib): 76.93618566312546
2739.TW, RSI(talib): 74.17182567754104
2471.TW, RSI(talib): 66.84445446049921
2453.TW, RSI(talib): 83.04520694504998
--------------
