2301.TW, RSI(talib): 71.25104066789729
1513.TW, RSI(talib): 86.07398731256892
1605.TW, RSI(talib): 77.46239453667623
2634.TW, RSI(talib): 77.75798906827127
1795.TW, RSI(talib): 72.02304954180852
2834.TW, RSI(talib): 69.43350761900051
3209.TW, RSI(talib): 72.86447624171849
2404.TW, RSI(talib): 66.89064500054099
6285.TW, RSI(talib): 63.78994566618419
2702.TW, RSI(talib): 77.18150625103878
3704.TW, RSI(talib): 61.697013087214515
2201.TW, RSI(talib): 65.89794755453934
2498.TW, RSI(talib): 61.52617867831158
5258.TW, RSI(talib): 70.37858311301513
1514.TW, RSI(talib): 71.72218028862972
2474.TW, RSI(talib): 75.64153578674261
1762.TW, RSI(talib): 68.10301178518965
1589.TW, RSI(talib): 69.02929962999681
6282.TW, RSI(talib): 67.69728380982743
1808.TW, RSI(talib): 62.47455319770767
4104.TW, RSI(talib): 74.873536618454
1802.TW, RSI(talib): 64.17676696017537
3443.TW, RSI(talib): 71.2453319960794
6515.TW, RSI(talib): 71.09786961331216
2482.TW, RSI(talib): 90.75081948532423
2360.TW, RSI(talib): 60.06474519271059
8996.TW, RSI(talib): 68.04604963918699
6605.TW, RSI(talib): 88.71767706047092
2723.TW, RSI(talib): 61.815112584536266
2707.TW, RSI(talib): 66.42504741712199
6414.TW, RSI(talib): 62.82474641084096
1432.TW, RSI(talib): 84.52065650465033
2392.TW, RSI(talib): 64.47403536020192
8105.TW, RSI(talib): 70.77404417425922
3022.TW, RSI(talib): 73.84335487598412
4977.TW, RSI(talib): 63.542549052875444
4536.TW, RSI(talib): 66.16262222526714
3454.TW, RSI(talib): 63.16352946783464
3591.TW, RSI(talib): 75.21362062081614
9939.TW, RSI(talib): 74.5679417911721
6581.TW, RSI(talib): 68.20770327052257
3029.TW, RSI(talib): 79.97657943555873
6197.TW, RSI(talib): 69.62037381811463
8222.TW, RSI(talib): 68.81395293573146
2231.TW, RSI(talib): 65.55732678076181
3046.TW, RSI(talib): 64.56567017048137
1519.TW, RSI(talib): 65.86794298445831
4763.TW, RSI(talib): 66.23558318028496
2727.TW, RSI(talib): 87.46222918625794
2748.TW, RSI(talib): 79.80593068522921
2753.TW, RSI(talib): 70.65418775656849
4155.TW, RSI(talib): 65.04050467246114
4572.TW, RSI(talib): 72.89987736882355
2402.TW, RSI(talib): 63.15937870338815
9942.TW, RSI(talib): 74.65151948238902
1342.TW, RSI(talib): 66.25641479665215
5284.TW, RSI(talib): 74.24858132585406
4164.TW, RSI(talib): 81.93316393116584
1707.TW, RSI(talib): 63.42909089990299
4916.TW, RSI(talib): 69.77424278404756
2539.TW, RSI(talib): 82.3416073677635
1783.TW, RSI(talib): 64.03956941258
6142.TW, RSI(talib): 78.10706040759825
1809.TW, RSI(talib): 64.00530539631195
1503.TW, RSI(talib): 85.96800853278643
2462.TW, RSI(talib): 75.38032461223881
--------------
2530.TW failed ('NoneType' object has no attribute 'text').
1529.TW failed ('NoneType' object has no attribute 'text').
1455.TW failed ('NoneType' object has no attribute 'text').
3033.TW failed ('NoneType' object has no attribute 'text').
