2356.TW, RSI(talib): 60.90598210266586
1513.TW, RSI(talib): 63.064789300288446
2027.TW, RSI(talib): 63.28055905535847
2634.TW, RSI(talib): 64.71361981925949
2442.TW, RSI(talib): 73.37051028349077
3231.TW, RSI(talib): 75.98393340929347
2504.TW, RSI(talib): 64.18270054262588
3661.TW, RSI(talib): 60.63647279190994
1762.TW, RSI(talib): 62.64903766753568
2345.TW, RSI(talib): 64.38986238432693
6282.TW, RSI(talib): 63.40882919398104
2457.TW, RSI(talib): 88.66057273760151
4104.TW, RSI(talib): 68.27091639810907
3443.TW, RSI(talib): 63.29686836164859
2017.TW, RSI(talib): 62.8716573764475
1104.TW, RSI(talib): 68.58419871236467
6288.TW, RSI(talib): 64.53671129477672
2482.TW, RSI(talib): 68.31506125868438
3015.TW, RSI(talib): 85.14726421298164
6605.TW, RSI(talib): 61.84102619841002
6412.TW, RSI(talib): 61.75512559892494
3038.TW, RSI(talib): 71.42666043511116
2421.TW, RSI(talib): 80.36534399583186
3005.TW, RSI(talib): 78.15841665198555
3027.TW, RSI(talib): 65.05306089919883
3029.TW, RSI(talib): 70.74157941544647
6197.TW, RSI(talib): 67.34592408277176
8222.TW, RSI(talib): 73.07511701405691
3380.TW, RSI(talib): 67.26099874068832
3346.TW, RSI(talib): 66.40958392220986
2231.TW, RSI(talib): 61.48508040326966
3046.TW, RSI(talib): 73.54030337330931
5225.TW, RSI(talib): 70.59462800230806
1519.TW, RSI(talib): 61.10965434688313
2727.TW, RSI(talib): 66.97078196551067
6592.TW, RSI(talib): 71.90065324858556
4155.TW, RSI(talib): 74.02940369978212
2402.TW, RSI(talib): 79.51096143081206
2413.TW, RSI(talib): 76.48244102667373
5607.TW, RSI(talib): 72.24168453475092
2495.TW, RSI(talib): 62.14182756812504
4164.TW, RSI(talib): 69.11688847827263
6139.TW, RSI(talib): 61.5304050722712
4916.TW, RSI(talib): 64.95895491040521
2539.TW, RSI(talib): 76.13415437687468
1512.TW, RSI(talib): 90.5978144270052
1503.TW, RSI(talib): 63.93172868041289
6691.TW, RSI(talib): 74.55719716168025
2739.TW, RSI(talib): 65.84271948634914
2453.TW, RSI(talib): 77.50581631918992
3056.TW, RSI(talib): 91.90610533074961
4119.TW, RSI(talib): 67.22557263294074
--------------
