8210.TW, RSI(talib): 56.23661379257246, RSI(def): 47.282660009267794
4164.TW, RSI(talib): 70.88012477642461, RSI(def): 66.80860803708049
1417.TW, RSI(talib): 52.92595298099621, RSI(def): 49.042979999627725
6409.TW, RSI(talib): 47.58441674034983, RSI(def): 39.57374775556349
6782.TW, RSI(talib): 48.69299230464447, RSI(def): 39.554129341745494
1707.TW, RSI(talib): 58.721864317707585, RSI(def): 48.439261865039256
6139.TW, RSI(talib): 49.72821974109885, RSI(def): 45.4074904053201
4916.TW, RSI(talib): 62.5035872930376, RSI(def): 48.242517767630346
2444.TW, RSI(talib): 39.09466513899637, RSI(def): 38.32446562866047
1752.TW, RSI(talib): 53.056994739654904, RSI(def): 41.04554454414263
1720.TW, RSI(talib): 51.60506214530089, RSI(def): 30.508421690518986
1618.TW, RSI(talib): 49.02187369328032, RSI(def): 38.63912446077024
2539.TW, RSI(talib): 77.35059464232732, RSI(def): 77.68857888239174
1512.TW, RSI(talib): 59.906670027755105, RSI(def): 44.999374879478665
1783.TW, RSI(talib): 64.16807746644386, RSI(def): 59.96732106795171
6142.TW, RSI(talib): 75.01661973088942, RSI(def): 79.35211772457224
1809.TW, RSI(talib): 63.509641142932416, RSI(def): 53.89918779128045
1503.TW, RSI(talib): 64.57323965347102, RSI(def): 56.74259648100397
2462.TW, RSI(talib): 60.701704181405205, RSI(def): 60.492346148254434
--------------
1513.TW failed (inputs are all NaN).
2419.TW failed ('NoneType' object has no attribute 'text').
