1513.TW, RSI(talib): 78.67715211265042
1506.TW, RSI(talib): 73.61572139462338
2834.TW, RSI(talib): 84.42462650183606
2897.TW, RSI(talib): 79.29005098343947
2376.TW, RSI(talib): 60.245653440864686
3017.TW, RSI(talib): 61.035064771456206
2913.TW, RSI(talib): 62.76735849230942
3209.TW, RSI(talib): 83.89901641973368
2404.TW, RSI(talib): 78.81894576913314
2442.TW, RSI(talib): 68.86450891262125
3231.TW, RSI(talib): 67.79740417649525
2702.TW, RSI(talib): 63.19001684455971
2201.TW, RSI(talib): 66.43191708794535
5258.TW, RSI(talib): 72.6205619081608
1514.TW, RSI(talib): 65.10888619952733
3661.TW, RSI(talib): 64.40241160973056
1762.TW, RSI(talib): 61.47199358690288
1589.TW, RSI(talib): 63.64915639343018
6282.TW, RSI(talib): 63.77233970567773
2457.TW, RSI(talib): 66.79260112339634
8478.TW, RSI(talib): 61.608690937554144
4104.TW, RSI(talib): 69.13353292277176
3443.TW, RSI(talib): 84.26272244583815
2731.TW, RSI(talib): 60.24998133936228
2017.TW, RSI(talib): 68.54190417352952
6515.TW, RSI(talib): 72.28758818562376
6669.TW, RSI(talib): 63.57371470830362
2482.TW, RSI(talib): 72.08958390598723
8996.TW, RSI(talib): 66.89759866449526
3013.TW, RSI(talib): 63.610280675712325
6605.TW, RSI(talib): 79.92644258888748
8033.TW, RSI(talib): 62.98714064370662
6412.TW, RSI(talib): 76.1411351139255
2707.TW, RSI(talib): 74.35048399028416
2385.TW, RSI(talib): 61.94643155121277
1432.TW, RSI(talib): 72.47864031524131
6670.TW, RSI(talib): 75.88757235705654
3005.TW, RSI(talib): 87.36167628262751
8105.TW, RSI(talib): 69.61107089323004
2332.TW, RSI(talib): 77.77675188361366
4536.TW, RSI(talib): 78.63982875948089
3591.TW, RSI(talib): 73.30955472388275
9939.TW, RSI(talib): 64.4939078174753
3027.TW, RSI(talib): 68.15841925872398
6581.TW, RSI(talib): 78.41885635920542
3029.TW, RSI(talib): 82.47012009214752
6197.TW, RSI(talib): 67.37851082466642
8222.TW, RSI(talib): 61.61615815971059
3380.TW, RSI(talib): 78.51615162268402
3346.TW, RSI(talib): 64.50132723869436
5225.TW, RSI(talib): 67.46582503721386
1519.TW, RSI(talib): 68.41512495513226
2727.TW, RSI(talib): 92.83451646567701
2748.TW, RSI(talib): 66.8547551013488
4155.TW, RSI(talib): 66.51789117798124
2402.TW, RSI(talib): 67.6443157109897
9942.TW, RSI(talib): 65.38052647468491
1342.TW, RSI(talib): 66.79092340862245
5284.TW, RSI(talib): 68.97229311661465
3419.TW, RSI(talib): 64.51341613209604
8210.TW, RSI(talib): 74.3358541898241
4164.TW, RSI(talib): 73.52183034345393
6409.TW, RSI(talib): 61.79546328660527
1707.TW, RSI(talib): 71.01270501564018
6139.TW, RSI(talib): 69.58820808026015
4916.TW, RSI(talib): 63.26709993839555
2539.TW, RSI(talib): 70.75057012042339
1512.TW, RSI(talib): 60.18546811185569
1783.TW, RSI(talib): 63.876755523191434
6142.TW, RSI(talib): 71.9317883187665
1503.TW, RSI(talib): 66.74055558922994
2462.TW, RSI(talib): 66.48193610358487
6691.TW, RSI(talib): 81.15403384266577
2739.TW, RSI(talib): 93.46406315093839
--------------
4551.TW failed ('NoneType' object has no attribute 'text').
2903.TW failed (index 0 is out of bounds for axis 0 with size 0).
