2301.TW, RSI(talib): 79.35109655799809
1513.TW, RSI(talib): 75.46172379026254
2027.TW, RSI(talib): 62.82847262475377
6116.TW, RSI(talib): 70.5395820009281
3711.TW, RSI(talib): 70.10333867109529
2634.TW, RSI(talib): 63.71370251118663
1506.TW, RSI(talib): 74.55585163586143
6176.TW, RSI(talib): 71.1091850780037
2834.TW, RSI(talib): 69.30864952160873
2897.TW, RSI(talib): 70.3207826017445
2329.TW, RSI(talib): 63.417083748321225
3017.TW, RSI(talib): 65.31982034196066
2208.TW, RSI(talib): 66.1408847345108
1718.TW, RSI(talib): 61.69645052188783
2913.TW, RSI(talib): 66.21208149198203
3209.TW, RSI(talib): 84.34244627823094
2404.TW, RSI(talib): 81.2613439718984
2442.TW, RSI(talib): 75.39340487885097
3231.TW, RSI(talib): 69.9882875350447
2702.TW, RSI(talib): 66.01903515318972
5258.TW, RSI(talib): 75.26117930784967
1514.TW, RSI(talib): 71.9524786109824
1762.TW, RSI(talib): 82.98199118311469
6282.TW, RSI(talib): 67.76685869020469
2457.TW, RSI(talib): 74.79320035095127
8478.TW, RSI(talib): 65.6533148814588
4104.TW, RSI(talib): 75.6967060976058
3443.TW, RSI(talib): 65.87324149594124
2017.TW, RSI(talib): 73.13795308514982
1104.TW, RSI(talib): 64.49490103760898
6515.TW, RSI(talib): 75.15382140617122
6669.TW, RSI(talib): 66.02468873878998
2482.TW, RSI(talib): 74.88998843130403
8996.TW, RSI(talib): 60.86899288700343
3013.TW, RSI(talib): 79.66671481706204
3356.TW, RSI(talib): 73.1753838349665
6605.TW, RSI(talib): 67.1765843210551
8033.TW, RSI(talib): 73.10715023380642
6412.TW, RSI(talib): 83.99392038433274
6196.TW, RSI(talib): 64.32996198276466
2707.TW, RSI(talib): 65.72996491559803
3008.TW, RSI(talib): 67.57340112620813
2385.TW, RSI(talib): 73.2055745172335
1432.TW, RSI(talib): 68.34006457433853
1528.TW, RSI(talib): 73.68634023044467
3038.TW, RSI(talib): 87.61087034897804
6670.TW, RSI(talib): 77.63934970084817
2421.TW, RSI(talib): 60.98970828359581
3005.TW, RSI(talib): 91.77827601887395
8105.TW, RSI(talib): 74.16324057938145
4977.TW, RSI(talib): 64.26531521817797
4746.TW, RSI(talib): 67.33117106402273
2332.TW, RSI(talib): 78.43083516769674
3454.TW, RSI(talib): 77.89800647858905
3591.TW, RSI(talib): 82.24806508778546
9939.TW, RSI(talib): 75.25747487530661
3027.TW, RSI(talib): 69.80609510865168
6581.TW, RSI(talib): 67.15296818735955
3029.TW, RSI(talib): 85.8061798101222
6197.TW, RSI(talib): 69.05843289850804
8222.TW, RSI(talib): 68.94213330255275
3380.TW, RSI(talib): 68.69033766923248
3346.TW, RSI(talib): 66.09345850599978
3046.TW, RSI(talib): 62.00436628464563
5225.TW, RSI(talib): 74.17286773882108
1519.TW, RSI(talib): 74.719268424311
4763.TW, RSI(talib): 66.93010776270447
2727.TW, RSI(talib): 84.47173919811426
2748.TW, RSI(talib): 64.13397004421769
6592.TW, RSI(talib): 70.474785493581
4155.TW, RSI(talib): 64.18692606328607
2402.TW, RSI(talib): 68.72041628862534
9942.TW, RSI(talib): 64.6702790604234
2413.TW, RSI(talib): 61.0223644148256
1342.TW, RSI(talib): 70.59435635264605
5284.TW, RSI(talib): 73.08493654297831
2495.TW, RSI(talib): 75.6581202823962
3419.TW, RSI(talib): 63.23689376437789
8210.TW, RSI(talib): 68.17895346202214
4164.TW, RSI(talib): 82.36577017701555
1707.TW, RSI(talib): 66.06390355262639
6139.TW, RSI(talib): 68.84331344556112
4916.TW, RSI(talib): 72.08120922073043
2444.TW, RSI(talib): 61.996219306581835
1720.TW, RSI(talib): 65.50843874662098
2903.TW, RSI(talib): 75.99712132521196
2539.TW, RSI(talib): 69.41508620491004
6142.TW, RSI(talib): 74.7588754254491
1809.TW, RSI(talib): 61.23570935709572
1503.TW, RSI(talib): 67.60437534448359
2462.TW, RSI(talib): 68.98920141251645
6691.TW, RSI(talib): 83.42663994992945
2739.TW, RSI(talib): 95.3659301316606
--------------
4915.TW failed ('NoneType' object has no attribute 'text').
6541.TW failed (index 0 is out of bounds for axis 0 with size 0).
2731.TW failed ('NoneType' object has no attribute 'text').
1733.TW failed ('NoneType' object has no attribute 'text').
3535.TW failed ('NoneType' object has no attribute 'text').
4536.TW failed (could not convert string to float: 'N/A').
1512.TW failed (index 0 is out of bounds for axis 0 with size 0).
