2301.TW, RSI(talib): 63.49127675929026
1513.TW, RSI(talib): 78.5054038393617
1605.TW, RSI(talib): 67.70092410166079
2634.TW, RSI(talib): 64.60074640442875
1506.TW, RSI(talib): 76.02871689531229
2834.TW, RSI(talib): 80.2067203087039
3017.TW, RSI(talib): 66.51109943782951
3209.TW, RSI(talib): 81.83796673918286
2404.TW, RSI(talib): 76.1534379328485
3231.TW, RSI(talib): 78.601825393425
2702.TW, RSI(talib): 70.50968148608248
2201.TW, RSI(talib): 65.81697000230821
5258.TW, RSI(talib): 71.22017547448142
1514.TW, RSI(talib): 71.64088414052844
1762.TW, RSI(talib): 61.15998936091529
1589.TW, RSI(talib): 62.082099026150175
2457.TW, RSI(talib): 66.85781863183018
3653.TW, RSI(talib): 65.16828086312452
8478.TW, RSI(talib): 63.28621416019119
4104.TW, RSI(talib): 70.71737948184361
1802.TW, RSI(talib): 64.76116776119734
3443.TW, RSI(talib): 84.03277959464738
2731.TW, RSI(talib): 62.413574003229066
2017.TW, RSI(talib): 83.85296505119932
1104.TW, RSI(talib): 70.73177293372784
6515.TW, RSI(talib): 70.54606832953723
6669.TW, RSI(talib): 69.97946814617741
2482.TW, RSI(talib): 71.56974992264149
8996.TW, RSI(talib): 64.85395249837408
3013.TW, RSI(talib): 64.10270515521913
6605.TW, RSI(talib): 78.30638290368728
8033.TW, RSI(talib): 65.69970844788668
2707.TW, RSI(talib): 71.26866946398293
6414.TW, RSI(talib): 63.77075546927685
2385.TW, RSI(talib): 71.50318833609302
1432.TW, RSI(talib): 72.77965840118557
6670.TW, RSI(talib): 80.49520889176112
2392.TW, RSI(talib): 60.358513890404154
3005.TW, RSI(talib): 78.13158844418203
8105.TW, RSI(talib): 67.78469816888747
4536.TW, RSI(talib): 75.82704014265906
3591.TW, RSI(talib): 69.9743321194304
9939.TW, RSI(talib): 65.07302815539404
3027.TW, RSI(talib): 67.54350182693878
6581.TW, RSI(talib): 73.57129115322888
3029.TW, RSI(talib): 79.58507162336385
6197.TW, RSI(talib): 63.79087207531305
8222.TW, RSI(talib): 61.881714681065915
5225.TW, RSI(talib): 71.00025110668018
1519.TW, RSI(talib): 69.60212570816911
4763.TW, RSI(talib): 72.52025163467626
2727.TW, RSI(talib): 91.48903130460543
2748.TW, RSI(talib): 70.21462218511432
2753.TW, RSI(talib): 62.77677683356203
4155.TW, RSI(talib): 64.85725169283315
9942.TW, RSI(talib): 62.933974531264894
1342.TW, RSI(talib): 63.72707867865055
5284.TW, RSI(talib): 68.98706394600278
3419.TW, RSI(talib): 62.158044732389804
8210.TW, RSI(talib): 70.85060143518956
4164.TW, RSI(talib): 71.2031277542804
6782.TW, RSI(talib): 65.8666398273293
1707.TW, RSI(talib): 67.4800578293801
4916.TW, RSI(talib): 60.93753277296757
2903.TW, RSI(talib): 67.14309305568723
2539.TW, RSI(talib): 76.13221865807294
6142.TW, RSI(talib): 73.38862512661547
1503.TW, RSI(talib): 69.03993733315244
2462.TW, RSI(talib): 62.13422568842842
6691.TW, RSI(talib): 82.65976684348786
2739.TW, RSI(talib): 93.2212558962694
--------------
