2356.TW, RSI(talib): 67.2713019930798
2353.TW, RSI(talib): 67.1907674222215
2634.TW, RSI(talib): 74.75282797066642
6806.TW, RSI(talib): 65.1071614987663
1710.TW, RSI(talib): 70.52196353212689
2913.TW, RSI(talib): 78.60580339449503
3023.TW, RSI(talib): 66.50720627105946
9907.TW, RSI(talib): 77.27374428448191
2442.TW, RSI(talib): 60.155184656809894
3231.TW, RSI(talib): 70.11875912565219
2504.TW, RSI(talib): 60.00161232515482
1514.TW, RSI(talib): 66.04141051128009
1904.TW, RSI(talib): 81.66530878147825
1762.TW, RSI(talib): 62.62985909791708
6235.TW, RSI(talib): 69.74159968685544
6282.TW, RSI(talib): 72.43833108733857
2457.TW, RSI(talib): 72.38346567365855
1808.TW, RSI(talib): 61.6773279924541
4104.TW, RSI(talib): 65.73612131595439
2731.TW, RSI(talib): 68.01728806793412
1104.TW, RSI(talib): 66.72271619587318
1907.TW, RSI(talib): 81.02019287429127
2206.TW, RSI(talib): 70.28217268481886
2204.TW, RSI(talib): 81.47098347768463
6605.TW, RSI(talib): 63.54911540352516
8033.TW, RSI(talib): 60.90613230327487
3038.TW, RSI(talib): 64.94087107080104
6197.TW, RSI(talib): 62.69621429504636
8222.TW, RSI(talib): 70.72776169071054
6438.TW, RSI(talib): 69.75279272884383
4967.TW, RSI(talib): 63.45105715081727
1519.TW, RSI(talib): 75.64138079960222
4763.TW, RSI(talib): 61.14670179564193
1504.TW, RSI(talib): 65.83559067515952
2530.TW, RSI(talib): 62.98549198880693
1529.TW, RSI(talib): 72.52345974706867
6592.TW, RSI(talib): 61.20605847008234
2402.TW, RSI(talib): 62.400685116990005
2413.TW, RSI(talib): 63.78130404718707
5284.TW, RSI(talib): 61.46716961010385
5607.TW, RSI(talib): 72.98277156499984
2495.TW, RSI(talib): 62.80369663691777
1810.TW, RSI(talib): 73.33623437392282
1752.TW, RSI(talib): 72.97993257726657
1720.TW, RSI(talib): 68.2793062275169
1618.TW, RSI(talib): 60.40107931002723
1503.TW, RSI(talib): 70.01272532670323
1215.TW, RSI(talib): 74.3538674860574
2471.TW, RSI(talib): 66.85686666451126
3056.TW, RSI(talib): 73.64139932990716
4119.TW, RSI(talib): 64.55814223510197
2645.TW, RSI(talib): 60.91103721024999
6112.TW, RSI(talib): 62.08952652410286
3032.TW, RSI(talib): 65.20456238884948
1108.TW, RSI(talib): 66.0267442754689
1535.TW, RSI(talib): 60.55680885957945
4306.TW, RSI(talib): 72.06883231341348
3058.TW, RSI(talib): 75.90959154322557
4566.TW, RSI(talib): 67.64567143277993
3004.TW, RSI(talib): 62.27627586846691
--------------
5876.TW failed ('NoneType' object has no attribute 'text').
2642.TW failed (inputs are all NaN).
