2356.TW, RSI(talib): 70.24547728445826
2891.TW, RSI(talib): 65.60134077933384
2353.TW, RSI(talib): 63.65121306410574
2885.TW, RSI(talib): 66.5479938725564
2301.TW, RSI(talib): 77.60854013808878
2330.TW, RSI(talib): 71.70811910988382
2408.TW, RSI(talib): 64.47623497279078
2354.TW, RSI(talib): 60.52450322761595
2455.TW, RSI(talib): 75.88344006544851
2610.TW, RSI(talib): 69.13901945568594
3042.TW, RSI(talib): 70.99331281925704
6116.TW, RSI(talib): 63.54615602715279
2377.TW, RSI(talib): 71.64319696518125
3711.TW, RSI(talib): 79.43918583586354
2357.TW, RSI(talib): 67.48131470709014
2887.TW, RSI(talib): 73.27444600635758
2303.TW, RSI(talib): 65.19471898451779
2886.TW, RSI(talib): 78.77212311927211
1734.TW, RSI(talib): 71.88741152630784
3035.TW, RSI(talib): 63.529290401312444
3714.TW, RSI(talib): 61.12070247609802
2323.TW, RSI(talib): 82.5825469576814
6176.TW, RSI(talib): 76.92200992468796
2376.TW, RSI(talib): 86.18733046605918
2329.TW, RSI(talib): 78.25244408835299
3037.TW, RSI(talib): 61.12745537727731
4938.TW, RSI(talib): 71.91350830555817
2368.TW, RSI(talib): 69.75602549414425
3017.TW, RSI(talib): 67.66855431468566
3596.TW, RSI(talib): 65.32358013825787
2401.TW, RSI(talib): 70.41118907641874
8163.TW, RSI(talib): 63.777846546263284
1710.TW, RSI(talib): 64.53432158649963
2838.TW, RSI(talib): 63.549194278419066
2371.TW, RSI(talib): 66.58638764874487
2344.TW, RSI(talib): 64.86189941560167
2404.TW, RSI(talib): 67.06503602511643
1609.TW, RSI(talib): 67.03927099242904
3231.TW, RSI(talib): 71.39224629151343
2383.TW, RSI(talib): 81.561289452665
3592.TW, RSI(talib): 65.14539944669963
5258.TW, RSI(talib): 68.20839076128075
6239.TW, RSI(talib): 66.54659365639468
1731.TW, RSI(talib): 67.7436706204689
5706.TW, RSI(talib): 67.62068385313594
3661.TW, RSI(talib): 65.56543201603684
2345.TW, RSI(talib): 65.54208810913983
2308.TW, RSI(talib): 73.77879514821096
6005.TW, RSI(talib): 66.63099416680994
2436.TW, RSI(talib): 69.30854430120678
6235.TW, RSI(talib): 81.11117073412963
3653.TW, RSI(talib): 72.25440866800193
2379.TW, RSI(talib): 67.82735481363008
3034.TW, RSI(talib): 68.85112859236531
2449.TW, RSI(talib): 80.33991775115487
6191.TW, RSI(talib): 72.40316778743761
6257.TW, RSI(talib): 60.2178381113918
2352.TW, RSI(talib): 90.79128485296299
3443.TW, RSI(talib): 67.5641261223125
8215.TW, RSI(talib): 65.91483801135197
4952.TW, RSI(talib): 64.31614431994448
1522.TW, RSI(talib): 78.80988419075314
2489.TW, RSI(talib): 62.32083169477125
8070.TW, RSI(talib): 60.393736017324684
1104.TW, RSI(talib): 78.73723517231775
8213.TW, RSI(talib): 68.77536244442909
2425.TW, RSI(talib): 83.84471314128629
6515.TW, RSI(talib): 61.86136596911762
8081.TW, RSI(talib): 66.41435220528125
1907.TW, RSI(talib): 65.26493952680912
2206.TW, RSI(talib): 73.04472883411705
6288.TW, RSI(talib): 66.33070721240156
8464.TW, RSI(talib): 60.699981354248266
8112.TW, RSI(talib): 79.12469857927374
1773.TW, RSI(talib): 60.271679443227214
2360.TW, RSI(talib): 75.68135808836314
2520.TW, RSI(talib): 65.39504343851921
2204.TW, RSI(talib): 70.81521297085446
8996.TW, RSI(talib): 71.17538923918099
3013.TW, RSI(talib): 63.13918162693904
6605.TW, RSI(talib): 77.5867586926767
6196.TW, RSI(talib): 73.2801104148291
2385.TW, RSI(talib): 60.75176392334121
1432.TW, RSI(talib): 73.16378516640447
3038.TW, RSI(talib): 60.07659521302232
2395.TW, RSI(talib): 60.31811711296156
2486.TW, RSI(talib): 86.35883937774891
2421.TW, RSI(talib): 65.84718250919471
3005.TW, RSI(talib): 64.87384691702586
8926.TW, RSI(talib): 69.74211832411041
3027.TW, RSI(talib): 73.07476874243876
2439.TW, RSI(talib): 72.30462751224844
3515.TW, RSI(talib): 93.34918135890173
3346.TW, RSI(talib): 71.99732829047556
3046.TW, RSI(talib): 71.47909217193751
1519.TW, RSI(talib): 61.59368830297317
1532.TW, RSI(talib): 62.558252935008696
2530.TW, RSI(talib): 70.11979137775162
1612.TW, RSI(talib): 61.69885746213305
3033.TW, RSI(talib): 87.45225744649588
8016.TW, RSI(talib): 60.67157507429681
3312.TW, RSI(talib): 65.31159503940435
8210.TW, RSI(talib): 64.74862548213916
2451.TW, RSI(talib): 68.36814983715954
9917.TW, RSI(talib): 61.377583330788156
2539.TW, RSI(talib): 91.55245495448156
1503.TW, RSI(talib): 60.55402279658038
6691.TW, RSI(talib): 67.18106301182837
2393.TW, RSI(talib): 70.20633323247793
1229.TW, RSI(talib): 63.0832310937017
6243.TW, RSI(talib): 70.61408488042903
2399.TW, RSI(talib): 70.47520516213346
3652.TW, RSI(talib): 73.35631949666693
6830.TW, RSI(talib): 83.31189327530191
3032.TW, RSI(talib): 63.172163832353924
5469.TW, RSI(talib): 60.02370450788006
3617.TW, RSI(talib): 80.36420445012
3058.TW, RSI(talib): 61.12398530775558
1608.TW, RSI(talib): 62.051741273186614
5234.TW, RSI(talib): 60.855686259287324
3583.TW, RSI(talib): 88.97620423148554
3014.TW, RSI(talib): 79.38578824068446
6214.TW, RSI(talib): 61.856544453740234
3308.TW, RSI(talib): 76.86715556654039
2630.TW, RSI(talib): 79.28396438208381
1525.TW, RSI(talib): 74.74308065632196
8271.TW, RSI(talib): 71.71985784993129
2349.TW, RSI(talib): 60.56717588698238
2705.TW, RSI(talib): 65.80234875314926
2211.TW, RSI(talib): 66.32253523153497
2247.TW, RSI(talib): 63.11497613795362
3055.TW, RSI(talib): 76.90086471405851
6166.TW, RSI(talib): 67.87634631137509
--------------
1303.TW failed ('NoneType' object has no attribute 'text').
