--------------
Wed Apr 10 21:55:46 2024 TW Stock List
--------------
2501.TW, Close: 27.35, RSI(talib): 80.51    !
6024.TW, Close: 55.70, RSI(talib): 67.59
6668.TW, Close: 72.00, RSI(talib): 68.85
2528.TW, Close: 48.70, RSI(talib): 70.26
6869.TW, Close: 135.00, RSI(talib): 62.48
2062.TW, Close: 28.70, RSI(talib): 69.54
2020.TW, Close: 38.45, RSI(talib): 63.68
1587.TW, Close: 41.50, RSI(talib): 72.93
6790.TW, Close: 50.90, RSI(talib): 71.24
--------------
2358.TW failed (index 0 is out of bounds for axis 0 with size 0).
1108.TW failed (index 0 is out of bounds for axis 0 with size 0).
2443.TW failed (index 0 is out of bounds for axis 0 with size 0).
