--------------
Thu Apr 25 22:16:20 2024 TW Stock List
--------------
2347.TW, Close: 77.10, RSI(talib): 61.65
2603.TW, Close: 181.00, RSI(talib): 60.63
2317.TW, Close: 151.50, RSI(talib): 65.20
2637.TW, Close: 67.10, RSI(talib): 62.25
--------------
1217.TW failed ('NoneType' object has no attribute 'text').
5243.TW failed ('NoneType' object has no attribute 'text').
2542.TW failed ('NoneType' object has no attribute 'text').
1440.TW failed ('NoneType' object has no attribute 'text').
1477.TW failed ('NoneType' object has no attribute 'text').
6285.TW failed ('NoneType' object has no attribute 'text').
3231.TW failed ('NoneType' object has no attribute 'text').
2383.TW failed ('NoneType' object has no attribute 'text').
3592.TW failed ('NoneType' object has no attribute 'text').
1533.TW failed ('NoneType' object has no attribute 'text').
6205.TW failed ('NoneType' object has no attribute 'text').
2024.TW failed ('NoneType' object has no attribute 'text').
2702.TW failed ('NoneType' object has no attribute 'text').
2614.TW failed ('NoneType' object has no attribute 'text').
1304.TW failed ('NoneType' object has no attribute 'text').
6541.TW failed ('NoneType' object has no attribute 'text').
8028.TW failed ('NoneType' object has no attribute 'text').
2331.TW failed ('NoneType' object has no attribute 'text').
3704.TW failed ('NoneType' object has no attribute 'text').
2201.TW failed ('NoneType' object has no attribute 'text').
3036.TW failed ('NoneType' object has no attribute 'text').
2010.TW failed ('NoneType' object has no attribute 'text').
2498.TW failed ('NoneType' object has no attribute 'text').
8150.TW failed ('NoneType' object has no attribute 'text').
2504.TW failed ('NoneType' object has no attribute 'text').
1319.TW failed ('NoneType' object has no attribute 'text').
5258.TW failed ('NoneType' object has no attribute 'text').
2492.TW failed ('NoneType' object has no attribute 'text').
6239.TW failed ('NoneType' object has no attribute 'text').
1560.TW failed ('NoneType' object has no attribute 'text').
1717.TW failed ('NoneType' object has no attribute 'text').
2611.TW failed ('NoneType' object has no attribute 'text').
2613.TW failed ('NoneType' object has no attribute 'text').
2608.TW failed ('NoneType' object has no attribute 'text').
2642.TW failed ('NoneType' object has no attribute 'text').
1731.TW failed ('NoneType' object has no attribute 'text').
1514.TW failed ('NoneType' object has no attribute 'text').
1714.TW failed ('NoneType' object has no attribute 'text').
3669.TW failed ('NoneType' object has no attribute 'text').
1312.TW failed ('NoneType' object has no attribute 'text').
