--------------
Fri May 10 22:11:07 2024 TW Stock List
--------------
2890.TW, Close: 22.95, RSI(talib): 60.10
2891.TW, Close: 37.45, RSI(talib): 73.23
2885.TW, Close: 32.10, RSI(talib): 63.41
2606.TW, Close: 61.30, RSI(talib): 65.30
2882.TW, Close: 55.50, RSI(talib): 68.49
2881.TW, Close: 71.80, RSI(talib): 60.01
2317.TW, Close: 169.50, RSI(talib): 72.23
2637.TW, Close: 73.00, RSI(talib): 62.64
2357.TW, Close: 470.50, RSI(talib): 70.27
2880.TW, Close: 26.25, RSI(talib): 70.69
6176.TW, Close: 203.50, RSI(talib): 68.85
2834.TW, Close: 17.10, RSI(talib): 60.61
2359.TW, Close: 106.00, RSI(talib): 61.77
3708.TW, Close: 152.50, RSI(talib): 64.64
2609.TW, Close: 60.60, RSI(talib): 73.53
2617.TW, Close: 38.25, RSI(talib): 62.76
8163.TW, Close: 67.40, RSI(talib): 63.19
2845.TW, Close: 15.60, RSI(talib): 64.34
9904.TW, Close: 37.20, RSI(talib): 60.47
4958.TW, Close: 120.00, RSI(talib): 63.67
3044.TW, Close: 225.00, RSI(talib): 75.85
4915.TW, Close: 94.90, RSI(talib): 65.29
2611.TW, Close: 29.05, RSI(talib): 68.73
2906.TW, Close: 23.00, RSI(talib): 77.96
2327.TW, Close: 635.00, RSI(talib): 63.19
6257.TW, Close: 76.20, RSI(talib): 62.91
1733.TW, Close: 35.30, RSI(talib): 62.88
3535.TW, Close: 24.10, RSI(talib): 61.78
2489.TW, Close: 15.70, RSI(talib): 64.92
2520.TW, Close: 56.90, RSI(talib): 63.25
3013.TW, Close: 80.80, RSI(talib): 61.24
6605.TW, Close: 203.50, RSI(talib): 66.01
2428.TW, Close: 170.50, RSI(talib): 62.34
2889.TW, Close: 15.60, RSI(talib): 66.19
6670.TW, Close: 318.00, RSI(talib): 75.78
6206.TW, Close: 88.60, RSI(talib): 80.97
2486.TW, Close: 84.00, RSI(talib): 76.05
2392.TW, Close: 48.75, RSI(talib): 63.32
3686.TW, Close: 19.60, RSI(talib): 61.81
2534.TW, Close: 26.30, RSI(talib): 60.71
9939.TW, Close: 175.50, RSI(talib): 72.82
2420.TW, Close: 59.80, RSI(talib): 81.09
4967.TW, Close: 112.50, RSI(talib): 70.85
5522.TW, Close: 80.00, RSI(talib): 71.30
4720.TW, Close: 17.45, RSI(talib): 66.35
6442.TW, Close: 169.50, RSI(talib): 64.12
1442.TW, Close: 54.60, RSI(talib): 65.84
3030.TW, Close: 123.50, RSI(talib): 76.63
6768.TW, Close: 91.80, RSI(talib): 79.40
3413.TW, Close: 312.00, RSI(talib): 60.33
2451.TW, Close: 101.50, RSI(talib): 69.41
2903.TW, Close: 35.70, RSI(talib): 67.43
2851.TW, Close: 28.45, RSI(talib): 62.80
2472.TW, Close: 78.10, RSI(talib): 66.11
2393.TW, Close: 68.20, RSI(talib): 62.33
2739.TW, Close: 69.40, RSI(talib): 68.88
6177.TW, Close: 62.00, RSI(talib): 74.67
6863.TW, Close: 172.00, RSI(talib): 63.03
9934.TW, Close: 19.35, RSI(talib): 60.65
3583.TW, Close: 345.00, RSI(talib): 61.46
1702.TW, Close: 63.60, RSI(talib): 61.61
6215.TW, Close: 47.30, RSI(talib): 64.20
1806.TW, Close: 10.90, RSI(talib): 62.34
2704.TW, Close: 73.50, RSI(talib): 73.11
3090.TW, Close: 66.90, RSI(talib): 79.27
4766.TW, Close: 371.50, RSI(talib): 61.14
9927.TW, Close: 80.40, RSI(talib): 67.88
2537.TW, Close: 16.90, RSI(talib): 61.86
1307.TW, Close: 33.30, RSI(talib): 72.55
2852.TW, Close: 25.05, RSI(talib): 83.57
6585.TW, Close: 214.00, RSI(talib): 71.78
6216.TW, Close: 36.80, RSI(talib): 68.32
1582.TW, Close: 100.50, RSI(talib): 66.21
2362.TW, Close: 43.70, RSI(talib): 60.19
6024.TW, Close: 60.00, RSI(talib): 71.93
6668.TW, Close: 72.80, RSI(talib): 61.85
6869.TW, Close: 155.00, RSI(talib): 62.92
8039.TW, Close: 51.20, RSI(talib): 63.05
1587.TW, Close: 69.40, RSI(talib): 82.50
2348.TW, Close: 201.00, RSI(talib): 68.26
2540.TW, Close: 164.00, RSI(talib): 82.81
1615.TW, Close: 68.80, RSI(talib): 66.75
--------------
3703.TW failed ('NoneType' object has no attribute 'text').
