--------------
Thu Jun 13 20:53:27 2024 TW Stock List
--------------
2883.TW, Close: 15.20, RSI(talib): 63.31
2890.TW, Close: 24.00, RSI(talib): 60.59
2618.TW, Close: 36.25, RSI(talib): 60.18
9958.TW, Close: 362.00, RSI(talib): 74.53
2330.TW, Close: nan, RSI(talib): 65.89
2882.TW, Close: 58.10, RSI(talib): 65.07
2881.TW, Close: 76.20, RSI(talib): 64.10
2317.TW, Close: 192.00, RSI(talib): 66.91
3042.TW, Close: 119.00, RSI(talib): 61.85
6176.TW, Close: 216.50, RSI(talib): 75.09
2867.TW, Close: 7.52, RSI(talib): 68.52
2359.TW, Close: 168.00, RSI(talib): 62.36
4938.TW, Close: 116.50, RSI(talib): 72.86
2476.TW, Close: 107.00, RSI(talib): 77.85
2351.TW, Close: 150.50, RSI(talib): 68.18
2809.TW, Close: 62.50, RSI(talib): 61.26
2454.TW, Close: 1385.00, RSI(talib): 62.33
4915.TW, Close: 110.50, RSI(talib): 73.97
2542.TW, Close: 49.15, RSI(talib): 67.05
6239.TW, Close: 189.50, RSI(talib): 61.07
1560.TW, Close: 299.00, RSI(talib): 61.09
2611.TW, Close: 32.75, RSI(talib): 60.20
2613.TW, Close: 44.35, RSI(talib): 67.55
2608.TW, Close: 45.05, RSI(talib): 60.89
2367.TW, Close: 37.20, RSI(talib): 61.74
8114.TW, Close: 162.00, RSI(talib): 85.83
4952.TW, Close: 68.90, RSI(talib): 66.46
3535.TW, Close: 32.05, RSI(talib): 62.83
1522.TW, Close: 66.90, RSI(talib): 72.97
2538.TW, Close: 18.80, RSI(talib): 61.21
8464.TW, Close: 372.50, RSI(talib): 65.49
6415.TW, Close: 501.00, RSI(talib): 60.16
3015.TW, Close: 65.60, RSI(talib): 62.54
2520.TW, Close: 58.80, RSI(talib): 61.24
3013.TW, Close: 92.70, RSI(talib): 62.72
6605.TW, Close: 235.50, RSI(talib): 66.17
3406.TW, Close: 599.00, RSI(talib): 73.52
6164.TW, Close: 16.65, RSI(talib): 69.87
2889.TW, Close: 15.55, RSI(talib): 61.85
3047.TW, Close: 26.25, RSI(talib): 72.13
2486.TW, Close: 123.00, RSI(talib): 74.87
2392.TW, Close: 75.90, RSI(talib): 61.22
1447.TW, Close: 10.25, RSI(talib): 79.34
3029.TW, Close: 83.70, RSI(talib): 78.34
6197.TW, Close: 177.50, RSI(talib): 61.27
9105.TW, Close: 4.92, RSI(talib): 73.85
4967.TW, Close: 168.00, RSI(talib): 85.36
4720.TW, Close: 21.05, RSI(talib): 72.92
6442.TW, Close: 257.50, RSI(talib): 84.92
1442.TW, Close: 62.20, RSI(talib): 61.41
3030.TW, Close: 181.00, RSI(talib): 60.06
3312.TW, Close: 70.60, RSI(talib): 65.21
3010.TW, Close: 133.50, RSI(talib): 65.80
6782.TW, Close: 275.00, RSI(talib): 68.85
2451.TW, Close: 122.00, RSI(talib): 68.62
9938.TW, Close: 67.00, RSI(talib): 66.10
1618.TW, Close: 54.70, RSI(talib): 63.69
6691.TW, Close: 427.50, RSI(talib): 68.77
2393.TW, Close: 75.90, RSI(talib): 67.81
3652.TW, Close: 33.70, RSI(talib): 61.88
5434.TW, Close: 286.00, RSI(talib): 67.75
3376.TW, Close: 269.50, RSI(talib): 74.80
4306.TW, Close: 20.70, RSI(talib): 60.92
2548.TW, Close: 175.50, RSI(talib): 65.96
6214.TW, Close: 128.00, RSI(talib): 64.62
6215.TW, Close: 59.80, RSI(talib): 64.27
2211.TW, Close: 147.00, RSI(talib): 64.30
6757.TW, Close: 49.25, RSI(talib): 72.73
2537.TW, Close: 24.90, RSI(talib): 68.89
3622.TW, Close: 69.60, RSI(talib): 72.52
3450.TW, Close: 95.40, RSI(talib): 61.80
2365.TW, Close: 32.85, RSI(talib): 61.04
6526.TW, Close: 786.00, RSI(talib): 60.21
6216.TW, Close: 47.05, RSI(talib): 84.27
6805.TW, Close: 803.00, RSI(talib): 61.47
1582.TW, Close: 116.50, RSI(talib): 63.51
6024.TW, Close: 60.70, RSI(talib): 61.19
8039.TW, Close: 58.90, RSI(talib): 67.74
5519.TW, Close: 50.10, RSI(talib): 61.59
2540.TW, Close: 184.50, RSI(talib): 67.63
6446.TW, Close: 488.00, RSI(talib): 76.60
2514.TW, Close: 24.35, RSI(talib): 64.90
3048.TW, Close: 36.75, RSI(talib): 63.53
1786.TW, Close: 116.00, RSI(talib): 61.31
8374.TW, Close: 68.20, RSI(talib): 70.82
1617.TW, Close: 28.25, RSI(talib): 73.62
6890.TW, Close: 216.00, RSI(talib): nan
--------------
8011.TW failed ('NoneType' object has no attribute 'text').
2528.TW failed ('NoneType' object has no attribute 'text').
