2356.TW, RSI(talib): 64.05877872337847
2353.TW, RSI(talib): 71.72401840013457
1303.TW, RSI(talib): 60.91398700603566
2408.TW, RSI(talib): 74.80112112977886
1513.TW, RSI(talib): 60.14885974123486
2455.TW, RSI(talib): 66.29803008604111
3533.TW, RSI(talib): 61.65340304183048
4960.TW, RSI(talib): 63.31957139369685
2634.TW, RSI(talib): 61.38394062131297
1506.TW, RSI(talib): 60.70015963914618
6176.TW, RSI(talib): 75.92626777011203
6531.TW, RSI(talib): 62.05076313919734
2897.TW, RSI(talib): 62.173610181861704
2376.TW, RSI(talib): 68.86107968213186
4938.TW, RSI(talib): 64.05854545749754
3017.TW, RSI(talib): 71.85031203125234
1308.TW, RSI(talib): 64.84190682363224
3023.TW, RSI(talib): 67.93705263668987
9907.TW, RSI(talib): 68.3957918765685
2442.TW, RSI(talib): 83.01476815340769
6285.TW, RSI(talib): 68.89970936426472
3231.TW, RSI(talib): 69.38797884376491
3592.TW, RSI(talib): 60.6175369555986
3661.TW, RSI(talib): 61.40250400960602
1762.TW, RSI(talib): 68.66090448839023
1589.TW, RSI(talib): 70.64032623170087
6235.TW, RSI(talib): 73.02968900970428
2457.TW, RSI(talib): 76.4878360021123
3653.TW, RSI(talib): 72.36826821224889
8478.TW, RSI(talib): 66.9967040293285
3034.TW, RSI(talib): 63.36742893979527
4104.TW, RSI(talib): 62.09957363870705
2731.TW, RSI(talib): 71.434494636105
1104.TW, RSI(talib): 64.12160768858621
6515.TW, RSI(talib): 63.73087383878925
2206.TW, RSI(talib): 65.44879362405614
6288.TW, RSI(talib): 62.582620618425736
6669.TW, RSI(talib): 74.72249046125408
2482.TW, RSI(talib): 74.39478505329774
3015.TW, RSI(talib): 74.7785280607496
6605.TW, RSI(talib): 68.60664055082229
6196.TW, RSI(talib): 62.27077189715365
5222.TW, RSI(talib): 70.97968039787894
2385.TW, RSI(talib): 65.40773809066886
1528.TW, RSI(talib): 66.40785935752162
3038.TW, RSI(talib): 67.4640450641725
2421.TW, RSI(talib): 65.14577049370341
3022.TW, RSI(talib): 63.63438088105298
4746.TW, RSI(talib): 76.30423069040117
2302.TW, RSI(talib): 64.45522257267613
3027.TW, RSI(talib): 63.06178157344418
6197.TW, RSI(talib): 74.32320179537562
8222.TW, RSI(talib): 61.64045334810781
3380.TW, RSI(talib): 64.72863555172148
6438.TW, RSI(talib): 66.46337962840197
2485.TW, RSI(talib): 63.29781555751601
2231.TW, RSI(talib): 63.18692885204668
3046.TW, RSI(talib): 61.412413640364996
3025.TW, RSI(talib): 84.04619936398558
1519.TW, RSI(talib): 72.72930697344637
2387.TW, RSI(talib): 73.2823649950789
4763.TW, RSI(talib): 73.55174071487014
1504.TW, RSI(talib): 73.1468728743962
1532.TW, RSI(talib): 62.61405390085881
2530.TW, RSI(talib): 70.52227375102072
1529.TW, RSI(talib): 60.46002529162512
6592.TW, RSI(talib): 64.11858232991271
4155.TW, RSI(talib): 61.62790997611687
1442.TW, RSI(talib): 62.33824559695481
2402.TW, RSI(talib): 70.7302422062911
9942.TW, RSI(talib): 77.00747382480543
5284.TW, RSI(talib): 73.06416439330556
5607.TW, RSI(talib): 66.7535679114315
6416.TW, RSI(talib): 72.65306991360349
2355.TW, RSI(talib): 68.90522376385408
4137.TW, RSI(talib): 61.909873100844074
4164.TW, RSI(talib): 61.09229286672271
2451.TW, RSI(talib): 71.0667771121524
1752.TW, RSI(talib): 60.33303571635065
1618.TW, RSI(talib): 71.8843990680187
2903.TW, RSI(talib): 66.64912604374373
2539.TW, RSI(talib): 64.48071703040891
1512.TW, RSI(talib): 67.23421646395008
6142.TW, RSI(talib): 63.07560384153614
1503.TW, RSI(talib): 60.53788096041315
1215.TW, RSI(talib): 67.27366764027043
2471.TW, RSI(talib): 66.14486708597602
2453.TW, RSI(talib): 67.17365902140357
3056.TW, RSI(talib): 90.23395330568276
4119.TW, RSI(talib): 70.26676244580254
2645.TW, RSI(talib): 62.873765166675355
6753.TW, RSI(talib): 84.99094978197351
6177.TW, RSI(talib): 70.32231821724599
--------------
