2353.TW, RSI(talib): 64.91016884366036
2887.TW, RSI(talib): 66.43634706007336
2634.TW, RSI(talib): 69.23894760733855
6806.TW, RSI(talib): 61.09231035960973
1710.TW, RSI(talib): 71.93045272489181
9907.TW, RSI(talib): 68.18867298319621
3231.TW, RSI(talib): 62.20918287854699
1731.TW, RSI(talib): 71.75901051097411
1514.TW, RSI(talib): 61.27957722627379
9955.TW, RSI(talib): 62.47270738252754
1762.TW, RSI(talib): 63.00808381332102
6235.TW, RSI(talib): 62.04627357512893
2457.TW, RSI(talib): 67.7260100203753
1808.TW, RSI(talib): 60.674651950133395
2731.TW, RSI(talib): 67.51128875677293
1104.TW, RSI(talib): 70.82644232904364
1907.TW, RSI(talib): 74.11925635660293
2206.TW, RSI(talib): 71.02952725703325
3015.TW, RSI(talib): 60.02293500309457
2204.TW, RSI(talib): 79.82725198716408
5222.TW, RSI(talib): 62.42748469360524
3038.TW, RSI(talib): 64.07702326622433
8222.TW, RSI(talib): 69.72393472353762
1519.TW, RSI(talib): 62.018415131504476
2530.TW, RSI(talib): 69.94584665011317
1529.TW, RSI(talib): 69.80204666519401
6592.TW, RSI(talib): 64.19752824481894
2495.TW, RSI(talib): 63.78324334251152
1810.TW, RSI(talib): 73.4490250664892
1752.TW, RSI(talib): 64.8880086267414
1720.TW, RSI(talib): 70.06953785094178
2539.TW, RSI(talib): 62.29349714828738
1503.TW, RSI(talib): 61.10993360606242
2471.TW, RSI(talib): 65.25328432397856
3056.TW, RSI(talib): 69.78487924094867
1108.TW, RSI(talib): 71.18267798697035
4306.TW, RSI(talib): 75.53259296818149
3058.TW, RSI(talib): 66.71291838140384
--------------
