2885.TW, RSI(talib): 68.8812941457333
2455.TW, RSI(talib): 60.81854998539068
2887.TW, RSI(talib): 79.27184512849635
2634.TW, RSI(talib): 62.97367906245109
1795.TW, RSI(talib): 64.83642447216776
3017.TW, RSI(talib): 77.87732145328852
6806.TW, RSI(talib): 67.21508896069359
1710.TW, RSI(talib): 60.22121015348354
3209.TW, RSI(talib): 60.62528969646112
4958.TW, RSI(talib): 60.65429908749989
3023.TW, RSI(talib): 63.79694582521904
3044.TW, RSI(talib): 61.084234389608326
1609.TW, RSI(talib): 73.7513279651718
3231.TW, RSI(talib): 69.95632084040419
8150.TW, RSI(talib): 60.94240052460344
2504.TW, RSI(talib): 64.32227165660218
1731.TW, RSI(talib): 67.59936030264613
1514.TW, RSI(talib): 61.96568350834878
1904.TW, RSI(talib): 71.74373527061265
1762.TW, RSI(talib): 67.79469636915283
1589.TW, RSI(talib): 66.545218846253
6005.TW, RSI(talib): 68.02472396350497
6235.TW, RSI(talib): 66.52722089808238
2457.TW, RSI(talib): 60.20344891687298
3653.TW, RSI(talib): 63.43940864710359
8478.TW, RSI(talib): 60.20139811951254
6191.TW, RSI(talib): 68.9599063480696
4104.TW, RSI(talib): 71.23280620922766
2352.TW, RSI(talib): 60.65707797009925
1210.TW, RSI(talib): 67.03230208182143
2731.TW, RSI(talib): 67.56248500968823
3011.TW, RSI(talib): 64.3226516347716
1104.TW, RSI(talib): 78.11686261515953
1907.TW, RSI(talib): 64.1921879181687
2206.TW, RSI(talib): 76.14805188652915
8464.TW, RSI(talib): 60.72036667977824
8112.TW, RSI(talib): 60.06028166176976
2204.TW, RSI(talib): 72.26643252146302
6605.TW, RSI(talib): 64.04194078381771
8033.TW, RSI(talib): 62.844973530747225
5222.TW, RSI(talib): 60.39010702923734
2385.TW, RSI(talib): 66.4596040999895
9910.TW, RSI(talib): 69.47305068626893
1528.TW, RSI(talib): 61.14756471375353
3038.TW, RSI(talib): 71.84770131997313
2395.TW, RSI(talib): 62.409015973136604
2421.TW, RSI(talib): 77.02831732845567
4746.TW, RSI(talib): 68.80171164139043
3043.TW, RSI(talib): 83.19382111807421
3591.TW, RSI(talib): 63.6127901081163
9939.TW, RSI(talib): 67.11844072183743
6197.TW, RSI(talib): 61.36173719382635
8222.TW, RSI(talib): 64.79759188003294
6438.TW, RSI(talib): 72.72892826465394
3046.TW, RSI(talib): 65.48152570927033
5225.TW, RSI(talib): 62.87571171903477
1519.TW, RSI(talib): 71.26831524702514
2387.TW, RSI(talib): 67.26036021504792
4763.TW, RSI(talib): 63.516522650716034
2727.TW, RSI(talib): 62.041123439015145
1504.TW, RSI(talib): 70.92757096741347
2530.TW, RSI(talib): 70.63603033551036
1529.TW, RSI(talib): 64.53205416864436
1905.TW, RSI(talib): 76.67450270344268
1612.TW, RSI(talib): 69.69347404464528
4572.TW, RSI(talib): 62.88499914782047
2402.TW, RSI(talib): 64.10684385399595
9942.TW, RSI(talib): 72.78325350451873
3312.TW, RSI(talib): 60.067382192241325
5284.TW, RSI(talib): 63.300655953504005
4137.TW, RSI(talib): 60.75749025093704
6139.TW, RSI(talib): 60.24567602608617
1720.TW, RSI(talib): 71.7012662914245
1618.TW, RSI(talib): 64.1475733981681
2903.TW, RSI(talib): 61.83270989932679
2539.TW, RSI(talib): 69.1602073921851
1783.TW, RSI(talib): 70.76203661339562
1503.TW, RSI(talib): 76.47818886739579
2022.TW, RSI(talib): 76.51720902093247
1215.TW, RSI(talib): 72.67289058445502
2471.TW, RSI(talib): 72.38324767626858
6243.TW, RSI(talib): 69.32908124713126
3056.TW, RSI(talib): 69.85124709267687
4119.TW, RSI(talib): 60.993266821217716
2207.TW, RSI(talib): 67.24000839759839
3715.TW, RSI(talib): 81.50616027548209
6112.TW, RSI(talib): 82.85302094651466
5469.TW, RSI(talib): 61.35299795531953
1108.TW, RSI(talib): 66.32054668533456
1535.TW, RSI(talib): 61.94954849278207
4306.TW, RSI(talib): 65.01002761172326
3058.TW, RSI(talib): 80.47122406633311
3583.TW, RSI(talib): 60.369801390839015
3014.TW, RSI(talib): 70.6734897277495
6214.TW, RSI(talib): 79.08872465593953
--------------
