2324.TW, RSI(talib): 62.29717239118361
2356.TW, RSI(talib): 61.68135729811702
2618.TW, RSI(talib): 64.60837979531536
9958.TW, RSI(talib): 74.17240148470995
2382.TW, RSI(talib): 67.14236461705183
1513.TW, RSI(talib): 67.94869599283082
2455.TW, RSI(talib): 61.986489705385935
2610.TW, RSI(talib): 64.59143684179924
2887.TW, RSI(talib): 64.12983174415243
2886.TW, RSI(talib): 73.5897460879547
3035.TW, RSI(talib): 76.61027230586949
1789.TW, RSI(talib): 68.64493643627188
4106.TW, RSI(talib): 85.40437306771352
1795.TW, RSI(talib): 62.22790023384543
2323.TW, RSI(talib): 61.218503420406876
2340.TW, RSI(talib): 62.099380644812264
2368.TW, RSI(talib): 64.39260893554359
3017.TW, RSI(talib): 66.70705313852304
3596.TW, RSI(talib): 72.91374627332223
2812.TW, RSI(talib): 66.46744321751422
2371.TW, RSI(talib): 83.91634571164505
1477.TW, RSI(talib): 81.80039399194553
6285.TW, RSI(talib): 64.91683286207824
3231.TW, RSI(talib): 69.56121819393746
2383.TW, RSI(talib): 64.2372399612944
1533.TW, RSI(talib): 65.3154634923832
2010.TW, RSI(talib): 81.0724780744372
6239.TW, RSI(talib): 67.61416691819429
1514.TW, RSI(talib): 60.107184038567105
5706.TW, RSI(talib): 63.026798626258454
3661.TW, RSI(talib): 61.746943580839286
6235.TW, RSI(talib): 62.08920775118912
2449.TW, RSI(talib): 64.39246525939286
6191.TW, RSI(talib): 79.2029898929242
4104.TW, RSI(talib): 72.23836108842464
2352.TW, RSI(talib): 60.65000796003791
3443.TW, RSI(talib): 61.44146875863511
9919.TW, RSI(talib): 61.05405998682129
3011.TW, RSI(talib): 70.33661025744905
1522.TW, RSI(talib): 74.41197501059224
2489.TW, RSI(talib): 64.99348225613014
1476.TW, RSI(talib): 65.06758109756741
2425.TW, RSI(talib): 68.79372949122072
6669.TW, RSI(talib): 62.107888935483345
2360.TW, RSI(talib): 62.495883499229606
8996.TW, RSI(talib): 61.28177311666304
3356.TW, RSI(talib): 82.04857869580849
2428.TW, RSI(talib): 60.97483238440364
6120.TW, RSI(talib): 71.72018172011119
3038.TW, RSI(talib): 63.914713529477574
1471.TW, RSI(talib): 71.29339921005202
2486.TW, RSI(talib): 69.63444613759047
2421.TW, RSI(talib): 62.71432764174107
2419.TW, RSI(talib): 81.97986902394044
8105.TW, RSI(talib): 69.72830497357648
3591.TW, RSI(talib): 64.67212274103899
3027.TW, RSI(talib): 69.60304955740256
6197.TW, RSI(talib): 80.03106541377247
3515.TW, RSI(talib): 66.85436726882827
2485.TW, RSI(talib): 61.9513657599524
3346.TW, RSI(talib): 62.502410394519714
4967.TW, RSI(talib): 62.86633850085174
1337.TW, RSI(talib): 72.79735730660207
6592.TW, RSI(talib): 61.2732695240799
4155.TW, RSI(talib): 79.63810729289658
2468.TW, RSI(talib): 70.00508905789755
8210.TW, RSI(talib): 72.02419612542012
4164.TW, RSI(talib): 69.69197449593337
2451.TW, RSI(talib): 60.41119329824317
4916.TW, RSI(talib): 61.16939320356989
2539.TW, RSI(talib): 65.98681074606439
6142.TW, RSI(talib): 60.08646974358302
2462.TW, RSI(talib): 65.75335698367468
6691.TW, RSI(talib): 60.885531065639455
2393.TW, RSI(talib): 66.40978631157446
1215.TW, RSI(talib): 62.40018525297979
8110.TW, RSI(talib): 61.756694486618045
1229.TW, RSI(talib): 74.5623647307099
6243.TW, RSI(talib): 71.03457390882517
2399.TW, RSI(talib): 63.91356550110575
3652.TW, RSI(talib): 61.02487422463838
5521.TW, RSI(talib): 66.28490031188659
5469.TW, RSI(talib): 79.49516318855035
1108.TW, RSI(talib): 64.42222048022137
3617.TW, RSI(talib): 63.38621500026759
5234.TW, RSI(talib): 64.97399844967514
4108.TW, RSI(talib): 60.84097687369536
3583.TW, RSI(talib): 62.49707701917877
1460.TW, RSI(talib): 60.05885319878499
2630.TW, RSI(talib): 64.89391970285072
2015.TW, RSI(talib): 65.88635456723169
2705.TW, RSI(talib): 61.048610743746124
2247.TW, RSI(talib): 63.55429622070121
3055.TW, RSI(talib): 60.31856449467008
6166.TW, RSI(talib): 64.61398309136884
8422.TW, RSI(talib): 67.15516963170796
4526.TW, RSI(talib): 67.19401554069388
1603.TW, RSI(talib): 79.88288151954491
2704.TW, RSI(talib): 63.69486647730825
6451.TW, RSI(talib): 78.4065955735956
--------------
