2356.TW, RSI(talib): 61.667772328976135
2891.TW, RSI(talib): 67.33900377180734
2353.TW, RSI(talib): 79.69248886127536
2885.TW, RSI(talib): 67.46451843718917
9958.TW, RSI(talib): 60.44905063929821
2330.TW, RSI(talib): 65.92186830030462
2408.TW, RSI(talib): 63.54153024541726
1513.TW, RSI(talib): 63.41843939214446
2455.TW, RSI(talib): 73.79236143528435
3042.TW, RSI(talib): 72.62383534446136
2377.TW, RSI(talib): 75.38995322448554
3711.TW, RSI(talib): 72.52088404851477
2357.TW, RSI(talib): 71.18771870646114
2887.TW, RSI(talib): 65.11928375222004
1734.TW, RSI(talib): 72.58382668180823
2634.TW, RSI(talib): 60.147584385982434
3714.TW, RSI(talib): 60.213782736926944
2323.TW, RSI(talib): 89.60487749211362
6176.TW, RSI(talib): 71.33857893991488
6531.TW, RSI(talib): 62.610163327380306
2481.TW, RSI(talib): 63.820286995880636
2376.TW, RSI(talib): 85.18326639209874
2329.TW, RSI(talib): 65.13817466552726
3037.TW, RSI(talib): 68.09356399882628
2359.TW, RSI(talib): 64.07492317989156
4938.TW, RSI(talib): 84.30316235212469
2368.TW, RSI(talib): 76.31826635097623
3017.TW, RSI(talib): 65.11564550971593
8163.TW, RSI(talib): 69.2482316098305
2371.TW, RSI(talib): 74.02447957354094
2344.TW, RSI(talib): 73.5215992212082
3044.TW, RSI(talib): 62.55146946956097
2454.TW, RSI(talib): 64.46758210676667
2515.TW, RSI(talib): 64.99008102802459
5243.TW, RSI(talib): 79.07214448670945
1477.TW, RSI(talib): 60.555676306306616
3231.TW, RSI(talib): 82.91331945704502
2201.TW, RSI(talib): 70.58168802361152
2498.TW, RSI(talib): 63.839188052745776
8150.TW, RSI(talib): 65.8732809458317
2492.TW, RSI(talib): 64.19101710124112
6239.TW, RSI(talib): 79.10709890180813
1731.TW, RSI(talib): 70.15208523116198
1514.TW, RSI(talib): 71.84654580326357
1904.TW, RSI(talib): 62.35156451173774
5706.TW, RSI(talib): 84.97887541341665
2388.TW, RSI(talib): 63.97191632887284
3661.TW, RSI(talib): 65.26125711343053
8046.TW, RSI(talib): 62.345320914639345
2345.TW, RSI(talib): 64.7326567673103
2308.TW, RSI(talib): 63.01268724713612
6005.TW, RSI(talib): 66.55662793930898
2436.TW, RSI(talib): 64.98427703602161
6235.TW, RSI(talib): 70.25843659837582
6282.TW, RSI(talib): 74.22478119571242
2457.TW, RSI(talib): 71.97719545976048
3653.TW, RSI(talib): 71.02926517471043
8478.TW, RSI(talib): 72.92813551051556
2449.TW, RSI(talib): 75.00660059375281
6191.TW, RSI(talib): 66.26273835314146
6257.TW, RSI(talib): 63.93563703040201
2352.TW, RSI(talib): 83.93970990540711
3443.TW, RSI(talib): 63.5313422514096
8215.TW, RSI(talib): 60.08780308780254
9919.TW, RSI(talib): 69.92904451100563
1733.TW, RSI(talib): 79.80141706810092
6591.TW, RSI(talib): 67.43144579746352
2489.TW, RSI(talib): 78.22814020850659
2425.TW, RSI(talib): 84.80025448968703
6515.TW, RSI(talib): 61.597146927113265
8081.TW, RSI(talib): 60.81673598490166
1907.TW, RSI(talib): 62.46950136848779
2206.TW, RSI(talib): 87.47906473124311
6669.TW, RSI(talib): 60.50626222535147
8112.TW, RSI(talib): 76.17962661589983
9941.TW, RSI(talib): 60.21134415741054
2360.TW, RSI(talib): 63.569820024427756
2204.TW, RSI(talib): 81.53854399350051
8996.TW, RSI(talib): 67.55617652005424
3701.TW, RSI(talib): 67.79308075878649
3013.TW, RSI(talib): 79.22167778234459
2328.TW, RSI(talib): 73.54466932437992
6164.TW, RSI(talib): 64.1461975439645
2385.TW, RSI(talib): 67.79794943319504
1528.TW, RSI(talib): 61.01111444681558
3038.TW, RSI(talib): 72.19319773191889
1471.TW, RSI(talib): 61.91474477840768
1727.TW, RSI(talib): 60.859021395482046
2486.TW, RSI(talib): 83.77075559197608
2421.TW, RSI(talib): 80.33580196863896
3005.TW, RSI(talib): 74.61974433694742
2332.TW, RSI(talib): 72.12125904688068
9939.TW, RSI(talib): 61.411219052147246
3029.TW, RSI(talib): 60.434762272637
2420.TW, RSI(talib): 70.22456901516688
6197.TW, RSI(talib): 70.04677574393868
3380.TW, RSI(talib): 70.39596463153738
3515.TW, RSI(talib): 79.36245540932298
3025.TW, RSI(talib): 70.88819478225787
1519.TW, RSI(talib): 80.84226317065941
2727.TW, RSI(talib): 67.48165022539453
1504.TW, RSI(talib): 71.46056544290786
1532.TW, RSI(talib): 63.92001546475367
2530.TW, RSI(talib): 67.91216897406241
1529.TW, RSI(talib): 64.50954370159981
1905.TW, RSI(talib): 70.01199201175558
1612.TW, RSI(talib): 67.18934827804695
