2356.TW, RSI(talib): 61.322872080345206
2353.TW, RSI(talib): 65.3865035295784
2887.TW, RSI(talib): 63.835148415245925
2634.TW, RSI(talib): 71.70439703064982
2897.TW, RSI(talib): 62.14709306615668
3017.TW, RSI(talib): 62.646535738595375
1710.TW, RSI(talib): 65.73151813904829
9907.TW, RSI(talib): 68.85937194313031
3231.TW, RSI(talib): 64.79718359648508
1731.TW, RSI(talib): 78.57486636835456
1514.TW, RSI(talib): 61.06321138573124
9955.TW, RSI(talib): 64.06852029006838
1762.TW, RSI(talib): 65.53352883932075
6235.TW, RSI(talib): 62.72256771658087
2457.TW, RSI(talib): 67.7260100203753
1808.TW, RSI(talib): 60.04665625328273
2731.TW, RSI(talib): 64.7973986824902
1104.TW, RSI(talib): 62.85043813962977
1907.TW, RSI(talib): 67.53030170493861
2206.TW, RSI(talib): 72.19024613322289
6288.TW, RSI(talib): 64.95192397899494
3015.TW, RSI(talib): 60.418591924351226
2204.TW, RSI(talib): 81.27447853582623
8033.TW, RSI(talib): 61.81810427487206
3038.TW, RSI(talib): 67.13901076456416
3043.TW, RSI(talib): 65.03302078961423
8222.TW, RSI(talib): 74.89884823204102
6438.TW, RSI(talib): 60.3992864511954
1519.TW, RSI(talib): 62.37048081870215
1504.TW, RSI(talib): 60.62062014119049
2530.TW, RSI(talib): 79.80312906007715
1529.TW, RSI(talib): 70.94198046998464
6592.TW, RSI(talib): 62.96019493997092
4572.TW, RSI(talib): 67.71205650933777
2402.TW, RSI(talib): 61.541205497573905
2495.TW, RSI(talib): 62.05097707816884
1810.TW, RSI(talib): 76.78247250926916
1752.TW, RSI(talib): 66.01788273472525
1720.TW, RSI(talib): 71.4723954749995
2539.TW, RSI(talib): 63.679918251813874
2471.TW, RSI(talib): 65.25328432397856
3056.TW, RSI(talib): 70.48531311158483
2645.TW, RSI(talib): 60.767374928219084
6112.TW, RSI(talib): 60.79444913912503
4306.TW, RSI(talib): 73.1691200749399
3058.TW, RSI(talib): 68.21953558013004
9934.TW, RSI(talib): 73.04840682306431
--------------
