2356.TW, RSI(talib): 62.488027323321646
2353.TW, RSI(talib): 76.2292545552978
2634.TW, RSI(talib): 70.63596792470764
6806.TW, RSI(talib): 63.98884515809213
2913.TW, RSI(talib): 76.17354388443256
3023.TW, RSI(talib): 62.70374712323953
9907.TW, RSI(talib): 74.4342549224972
3231.TW, RSI(talib): 66.24092739951249
1514.TW, RSI(talib): 62.61314927346443
2031.TW, RSI(talib): 73.7681524181291
1762.TW, RSI(talib): 60.12904842899469
6235.TW, RSI(talib): 69.03599202717905
6282.TW, RSI(talib): 66.43080267373846
2457.TW, RSI(talib): 69.89291760714465
2731.TW, RSI(talib): 67.3659878336884
1104.TW, RSI(talib): 62.04475876117386
1907.TW, RSI(talib): 77.98769696009515
2206.TW, RSI(talib): 73.00709329767889
2204.TW, RSI(talib): 84.83289717717139
3038.TW, RSI(talib): 62.657191458056815
3043.TW, RSI(talib): 62.096757308323994
6197.TW, RSI(talib): 60.06184066793227
8222.TW, RSI(talib): 68.13892332582839
6438.TW, RSI(talib): 66.56417107839985
1519.TW, RSI(talib): 72.39224404828974
1504.TW, RSI(talib): 63.667688662385224
2530.TW, RSI(talib): 66.49849824128009
1529.TW, RSI(talib): 69.61953779395351
9942.TW, RSI(talib): 60.048629408181775
5607.TW, RSI(talib): 71.8040071428322
1810.TW, RSI(talib): 69.2632866624081
1752.TW, RSI(talib): 67.67606682994311
1720.TW, RSI(talib): 63.09507232300003
1215.TW, RSI(talib): 72.36809412621034
3056.TW, RSI(talib): 71.55963902764408
4119.TW, RSI(talib): 60.416863107643756
2645.TW, RSI(talib): 61.10858794926306
3032.TW, RSI(talib): 63.81199922764436
1108.TW, RSI(talib): 65.79621354686785
4306.TW, RSI(talib): 65.8704597438294
3058.TW, RSI(talib): 74.95454216615526
3004.TW, RSI(talib): 70.03786889142027
--------------
