2739.TW, RSI(talib): 61.80259411779514
8110.TW, RSI(talib): 64.96779979183815
2427.TW, RSI(talib): 67.01207204681687
6243.TW, RSI(talib): 85.08371239974194
2399.TW, RSI(talib): 66.82683281423503
2207.TW, RSI(talib): 71.82488370419885
3338.TW, RSI(talib): 67.21866135311171
3715.TW, RSI(talib): 62.94307522073679
6830.TW, RSI(talib): 77.2850401251328
3032.TW, RSI(talib): 60.039524948787715
5469.TW, RSI(talib): 68.72714234205837
3617.TW, RSI(talib): 71.79962868362999
3058.TW, RSI(talib): 67.11219348526394
1608.TW, RSI(talib): 77.77303667723307
5234.TW, RSI(talib): 70.5966449844888
1616.TW, RSI(talib): 68.62568327179179
3583.TW, RSI(talib): 86.5498880859634
2461.TW, RSI(talib): 63.608204660832456
3014.TW, RSI(talib): 74.34495981679135
6214.TW, RSI(talib): 60.04640550631252
8011.TW, RSI(talib): 72.86812581054022
3308.TW, RSI(talib): 60.163985242140484
5531.TW, RSI(talib): 72.58737656719396
2630.TW, RSI(talib): 81.04609786810506
1525.TW, RSI(talib): 73.65952358631661
2706.TW, RSI(talib): 73.51665121045203
8271.TW, RSI(talib): 75.00802740220071
2349.TW, RSI(talib): 64.78571172430809
6215.TW, RSI(talib): 69.96251025781552
2705.TW, RSI(talib): 65.29161947599266
--------------
1717.TW failed (inputs are all NaN).
2851.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
