2356.TW, RSI(talib): 62.36371847752754
2891.TW, RSI(talib): 72.90866887828537
2353.TW, RSI(talib): 68.95453196099022
2885.TW, RSI(talib): 74.06021975156327
2301.TW, RSI(talib): 69.09582309959373
2027.TW, RSI(talib): 71.62937296273111
2455.TW, RSI(talib): 69.14608266495674
3042.TW, RSI(talib): 77.96438251189636
2377.TW, RSI(talib): 81.59225412017557
3711.TW, RSI(talib): 74.30114845734963
2357.TW, RSI(talib): 67.99315402251679
2887.TW, RSI(talib): 73.93109166393621
2886.TW, RSI(talib): 76.35296089615943
1734.TW, RSI(talib): 64.2373568777828
2634.TW, RSI(talib): 62.47176781210319
3714.TW, RSI(talib): 61.95283701052582
2323.TW, RSI(talib): 88.50044025940606
6176.TW, RSI(talib): 72.07301260268615
2376.TW, RSI(talib): 80.78709524218996
2329.TW, RSI(talib): 76.01394162760853
2359.TW, RSI(talib): 60.82917031421333
4938.TW, RSI(talib): 73.6693858960166
2368.TW, RSI(talib): 72.72631807267275
3596.TW, RSI(talib): 67.12958230706631
2545.TW, RSI(talib): 67.66268133580601
1710.TW, RSI(talib): 71.7581801973757
3209.TW, RSI(talib): 60.14878340052542
2838.TW, RSI(talib): 62.30380028486324
2371.TW, RSI(talib): 63.21171488586907
2515.TW, RSI(talib): 61.361290726021814
1609.TW, RSI(talib): 82.95733160335963
2442.TW, RSI(talib): 62.64247968754486
1217.TW, RSI(talib): 67.93669822912845
5243.TW, RSI(talib): 60.890391705486394
3231.TW, RSI(talib): 71.33923282129318
2383.TW, RSI(talib): 80.32583891560007
2702.TW, RSI(talib): 67.43489528725229
8150.TW, RSI(talib): 68.87573373265938
6239.TW, RSI(talib): 66.96338133696348
1731.TW, RSI(talib): 67.73356242315022
1514.TW, RSI(talib): 64.87267969723433
4927.TW, RSI(talib): 69.42232420646016
5706.TW, RSI(talib): 80.55190730896733
2308.TW, RSI(talib): 65.91818788658776
6005.TW, RSI(talib): 77.95324069283087
2436.TW, RSI(talib): 67.87938263739171
6235.TW, RSI(talib): 71.39260696648584
3653.TW, RSI(talib): 64.10548660115154
2379.TW, RSI(talib): 60.809909783405104
3034.TW, RSI(talib): 70.07435222733804
2449.TW, RSI(talib): 70.50766355804424
6191.TW, RSI(talib): 72.10341515279407
2612.TW, RSI(talib): 66.42193959269588
6257.TW, RSI(talib): 64.21818731494116
2352.TW, RSI(talib): 84.2030701113266
8215.TW, RSI(talib): 69.54948639923543
9919.TW, RSI(talib): 60.30162022217125
2731.TW, RSI(talib): 62.47038008154967
1733.TW, RSI(talib): 63.56044175713933
6591.TW, RSI(talib): 61.33010522106098
2489.TW, RSI(talib): 61.35135213838539
8070.TW, RSI(talib): 60.01457711261218
1104.TW, RSI(talib): 68.19667074751555
8213.TW, RSI(talib): 67.93590262780481
2425.TW, RSI(talib): 81.9024757134472
8081.TW, RSI(talib): 69.34861103887916
1907.TW, RSI(talib): 74.01774343499163
2206.TW, RSI(talib): 82.81034448677973
8464.TW, RSI(talib): 62.42601048283627
8112.TW, RSI(talib): 84.3721309332296
2482.TW, RSI(talib): 65.23810317224577
1773.TW, RSI(talib): 68.48846225029703
9941.TW, RSI(talib): 62.0368407153653
2360.TW, RSI(talib): 65.3898933345937
2204.TW, RSI(talib): 66.92249332331596
8996.TW, RSI(talib): 60.209750598518006
3013.TW, RSI(talib): 68.6523460086695
2328.TW, RSI(talib): 65.00520816341246
2707.TW, RSI(talib): 73.50078798756563
6164.TW, RSI(talib): 61.870374029537466
2385.TW, RSI(talib): 61.673177810904
1432.TW, RSI(talib): 73.18532920319153
3607.TW, RSI(talib): 65.14576516899247
1528.TW, RSI(talib): 65.25382565205018
3038.TW, RSI(talib): 66.71298641752207
2486.TW, RSI(talib): 88.57255750062868
2421.TW, RSI(talib): 76.72776958118337
