2356.TW, RSI(talib): 60.521595584998366
2618.TW, RSI(talib): 68.54724992611216
2891.TW, RSI(talib): 62.28087154681427
9958.TW, RSI(talib): 62.379649790721146
2382.TW, RSI(talib): 65.49750440886582
1513.TW, RSI(talib): 64.78837659596743
2610.TW, RSI(talib): 68.85424100155096
3711.TW, RSI(talib): 63.19674046899475
2887.TW, RSI(talib): 67.03371807380461
2886.TW, RSI(talib): 68.71740848892739
3035.TW, RSI(talib): 71.30410810293478
1789.TW, RSI(talib): 67.88753455889854
4106.TW, RSI(talib): 82.77511373054018
1795.TW, RSI(talib): 60.14611174591883
2323.TW, RSI(talib): 60.800827634584685
2340.TW, RSI(talib): 63.221470107559675
2368.TW, RSI(talib): 63.32546988325093
3017.TW, RSI(talib): 64.6596141742102
3596.TW, RSI(talib): 75.44255291046356
2371.TW, RSI(talib): 83.39761512806905
1217.TW, RSI(talib): 62.140037070862185
1477.TW, RSI(talib): 79.60754421904738
3231.TW, RSI(talib): 64.01658901720968
1533.TW, RSI(talib): 60.54022405828272
2702.TW, RSI(talib): 61.12839174703547
2010.TW, RSI(talib): 80.15819183282863
6239.TW, RSI(talib): 63.37893971475862
5706.TW, RSI(talib): 61.6195435502476
1711.TW, RSI(talib): 60.42216973314469
3034.TW, RSI(talib): 60.97016832620429
2449.TW, RSI(talib): 70.09478670716796
6191.TW, RSI(talib): 85.13861541726648
3702.TW, RSI(talib): 71.4987348813063
3011.TW, RSI(talib): 71.00311197818893
1522.TW, RSI(talib): 75.71157273098905
2489.TW, RSI(talib): 64.03874101561927
2425.TW, RSI(talib): 64.52170996871682
2360.TW, RSI(talib): 60.002382099445974
3356.TW, RSI(talib): 80.09627512381641
6605.TW, RSI(talib): 64.83722037580236
6120.TW, RSI(talib): 70.89686763649603
3038.TW, RSI(talib): 62.94616358861258
1471.TW, RSI(talib): 80.95456755028181
2486.TW, RSI(talib): 68.27934019906594
2421.TW, RSI(talib): 60.01954185747255
2419.TW, RSI(talib): 75.95946740380933
3005.TW, RSI(talib): 60.50233342973311
8105.TW, RSI(talib): 65.03459675600476
4746.TW, RSI(talib): 62.03530953014024
3027.TW, RSI(talib): 62.637250480651616
6197.TW, RSI(talib): 72.88659244743869
3515.TW, RSI(talib): 62.11831112586641
2485.TW, RSI(talib): 62.901167178944505
4967.TW, RSI(talib): 65.73470253891179
5225.TW, RSI(talib): 60.1355744550109
1337.TW, RSI(talib): 72.64316337959134
1532.TW, RSI(talib): 62.64686646603178
4155.TW, RSI(talib): 64.6816435465334
2468.TW, RSI(talib): 72.48026661014832
8210.TW, RSI(talib): 70.74458008330363
4916.TW, RSI(talib): 60.06835234739163
2903.TW, RSI(talib): 61.10682945680155
2539.TW, RSI(talib): 63.62043669986663
2462.TW, RSI(talib): 65.38189191206627
2393.TW, RSI(talib): 66.06001162801873
1215.TW, RSI(talib): 61.96227417450905
1229.TW, RSI(talib): 77.65036868725382
6243.TW, RSI(talib): 66.82145567546162
2399.TW, RSI(talib): 60.15970790846944
5521.TW, RSI(talib): 62.353613194025584
5469.TW, RSI(talib): 79.12174541863844
1108.TW, RSI(talib): 65.54548258177554
3617.TW, RSI(talib): 60.471227088980314
5234.TW, RSI(talib): 68.91696488196921
3583.TW, RSI(talib): 60.985359530033136
2630.TW, RSI(talib): 65.87582761549781
2015.TW, RSI(talib): 60.387683649801424
1525.TW, RSI(talib): 61.744228899315544
8271.TW, RSI(talib): 61.188920462102644
2705.TW, RSI(talib): 63.398132238544946
2247.TW, RSI(talib): 63.39087818750757
3055.TW, RSI(talib): 60.19207619473017
6166.TW, RSI(talib): 62.05298347129195
8422.TW, RSI(talib): 70.52943243607129
4526.TW, RSI(talib): 66.34884640393899
1603.TW, RSI(talib): 75.79283496257672
2704.TW, RSI(talib): 62.050860790973836
--------------
2347.TW failed ('NoneType' object has no attribute 'text').
