2324.TW, RSI(talib): 71.14796135116427
2356.TW, RSI(talib): 76.2659446762766
2618.TW, RSI(talib): 76.71478233192775
2353.TW, RSI(talib): 61.198618440001596
2885.TW, RSI(talib): 64.86419629863343
2301.TW, RSI(talib): 68.407452435986
2330.TW, RSI(talib): 68.79102809807854
2382.TW, RSI(talib): 81.73773319747653
1216.TW, RSI(talib): 73.66337669765653
1303.TW, RSI(talib): 60.7717275756403
2408.TW, RSI(talib): 70.94559650652039
1513.TW, RSI(talib): 71.44636136849161
2027.TW, RSI(talib): 70.90785571125397
2455.TW, RSI(talib): 67.60673192940305
2610.TW, RSI(talib): 87.55104031739032
3042.TW, RSI(talib): 72.6652478478131
6116.TW, RSI(talib): 61.465481219153226
2377.TW, RSI(talib): 64.06333493001125
3711.TW, RSI(talib): 68.91965334507314
2357.TW, RSI(talib): 61.547011036409806
2887.TW, RSI(talib): 71.30180348190068
2303.TW, RSI(talib): 71.96184184221698
1734.TW, RSI(talib): 71.70264432442947
3035.TW, RSI(talib): 66.50907246664686
1789.TW, RSI(talib): 68.38637635424631
2323.TW, RSI(talib): 80.36921451749967
6176.TW, RSI(talib): 67.36202601315598
2376.TW, RSI(talib): 85.75204406920803
2329.TW, RSI(talib): 66.37770779169514
3037.TW, RSI(talib): 68.98037076133576
3006.TW, RSI(talib): 60.33749850865352
4938.TW, RSI(talib): 76.38492648143144
2368.TW, RSI(talib): 71.27049910716539
3017.TW, RSI(talib): 77.9416796453576
3596.TW, RSI(talib): 62.89488333338331
2617.TW, RSI(talib): 60.18271598127826
2401.TW, RSI(talib): 72.46749470872264
8163.TW, RSI(talib): 65.34961390676081
4755.TW, RSI(talib): 76.20883840105672
1710.TW, RSI(talib): 63.66139613574895
2838.TW, RSI(talib): 61.53551258007802
2371.TW, RSI(talib): 80.98779614248788
3023.TW, RSI(talib): 63.64932715034644
2344.TW, RSI(talib): 66.18767022850886
1609.TW, RSI(talib): 69.1855614572493
1217.TW, RSI(talib): 65.29545588882426
6285.TW, RSI(talib): 65.39683934777999
3231.TW, RSI(talib): 78.98159083798907
2383.TW, RSI(talib): 78.36170013857539
5258.TW, RSI(talib): 81.16436418662343
6239.TW, RSI(talib): 79.57035327600431
1514.TW, RSI(talib): 65.18742965908834
5706.TW, RSI(talib): 63.460911716119575
3661.TW, RSI(talib): 68.2732149704443
2345.TW, RSI(talib): 61.92182550856234
2308.TW, RSI(talib): 83.20943336396
6005.TW, RSI(talib): 60.254049527475715
6235.TW, RSI(talib): 86.63625794160673
3653.TW, RSI(talib): 67.07052906398866
3034.TW, RSI(talib): 60.43382281675762
2449.TW, RSI(talib): 73.3733527597678
6191.TW, RSI(talib): 71.56460279962754
2612.TW, RSI(talib): 62.78559228344781
6257.TW, RSI(talib): 62.6598234699
2352.TW, RSI(talib): 85.09944174965082
3443.TW, RSI(talib): 73.29740970264041
8215.TW, RSI(talib): 63.36626675454299
9919.TW, RSI(talib): 64.35310695830708
2049.TW, RSI(talib): 64.10758832429688
1522.TW, RSI(talib): 85.78178229082182
6591.TW, RSI(talib): 64.13680599523566
3019.TW, RSI(talib): 62.29634493711123
2489.TW, RSI(talib): 62.249616237674
1104.TW, RSI(talib): 71.48649898742576
8213.TW, RSI(talib): 61.157686956866364
2425.TW, RSI(talib): 78.63536552548301
8081.TW, RSI(talib): 67.7097587075784
2206.TW, RSI(talib): 70.2915271826605
8112.TW, RSI(talib): 62.34678861160271
2482.TW, RSI(talib): 60.902056213272836
3015.TW, RSI(talib): 63.58192680586854
2360.TW, RSI(talib): 80.01620359312841
8996.TW, RSI(talib): 72.45957932795037
6605.TW, RSI(talib): 75.31021270450333
6196.TW, RSI(talib): 67.63874913951935
6164.TW, RSI(talib): 60.155675044434744
9910.TW, RSI(talib): 67.12137297618916
1432.TW, RSI(talib): 63.28616740130239
1528.TW, RSI(talib): 77.88497181367357
6120.TW, RSI(talib): 86.06143055417644
2395.TW, RSI(talib): 65.51659309163776
2486.TW, RSI(talib): 88.50041508439055
2421.TW, RSI(talib): 67.79284050908979
3005.TW, RSI(talib): 60.50293047178729
8105.TW, RSI(talib): 60.5092037370547
8926.TW, RSI(talib): 66.84142183825958
3027.TW, RSI(talib): 66.59771144194292
6197.TW, RSI(talib): 60.73349506425827
3380.TW, RSI(talib): 62.768066076440654
3515.TW, RSI(talib): 77.59126377959689
3024.TW, RSI(talib): 73.87207274034039
2485.TW, RSI(talib): 60.34177682306087
3346.TW, RSI(talib): 63.070978372839335
4967.TW, RSI(talib): 68.62499224453892
3046.TW, RSI(talib): 60.760702506772276
3025.TW, RSI(talib): 60.53778544777971
1519.TW, RSI(talib): 72.48375418755286
1504.TW, RSI(talib): 66.73911135491241
2530.TW, RSI(talib): 66.47464366510535
1529.TW, RSI(talib): 60.69042978397239
6592.TW, RSI(talib): 70.48547828748856
1905.TW, RSI(talib): 62.398746107251704
1612.TW, RSI(talib): 64.20185350539498
4572.TW, RSI(talib): 68.85565632191881
3033.TW, RSI(talib): 66.74879798504256
8016.TW, RSI(talib): 60.40579572229105
3312.TW, RSI(talib): 64.25366510197121
8210.TW, RSI(talib): 73.92714841457175
2451.TW, RSI(talib): 71.3741613141862
2539.TW, RSI(talib): 69.26321167442693
1503.TW, RSI(talib): 67.25215710399749
2462.TW, RSI(talib): 62.16758408948516
6691.TW, RSI(talib): 60.93962753168503
