2353.TW, RSI(talib): 61.78180040395179
2885.TW, RSI(talib): 74.32685075650654
2347.TW, RSI(talib): 72.92583755279905
2330.TW, RSI(talib): 63.73432926084829
1303.TW, RSI(talib): 70.86133455594344
2881.TW, RSI(talib): 77.60042265909628
2408.TW, RSI(talib): 66.97155470204684
2377.TW, RSI(talib): 70.00325738621854
3711.TW, RSI(talib): 64.4589656546826
2357.TW, RSI(talib): 73.40241181370398
2887.TW, RSI(talib): 79.78587449937663
1795.TW, RSI(talib): 76.92302114171329
6176.TW, RSI(talib): 66.3076960642408
2834.TW, RSI(talib): 68.66838216304404
2376.TW, RSI(talib): 77.93634241310036
4938.TW, RSI(talib): 72.42202974998287
3017.TW, RSI(talib): 66.81134140756632
8163.TW, RSI(talib): 63.33085106401528
3023.TW, RSI(talib): 61.110399337368
2344.TW, RSI(talib): 60.36120698954238
3044.TW, RSI(talib): 67.08395476844495
1609.TW, RSI(talib): 62.19517850561055
2442.TW, RSI(talib): 79.39807662530164
1217.TW, RSI(talib): 61.64014939439985
3231.TW, RSI(talib): 68.8810045838517
6239.TW, RSI(talib): 69.68600681020474
1731.TW, RSI(talib): 63.51821498280583
5706.TW, RSI(talib): 72.37820747062318
3661.TW, RSI(talib): 71.84569148915789
6235.TW, RSI(talib): 71.0787023998004
3653.TW, RSI(talib): 73.94710114669782
8478.TW, RSI(talib): 63.768390516596455
1808.TW, RSI(talib): 62.38665552893815
6191.TW, RSI(talib): 67.68108062825195
2352.TW, RSI(talib): 76.96676332476963
3443.TW, RSI(talib): 66.60038283262608
2731.TW, RSI(talib): 62.960002474470365
1907.TW, RSI(talib): 60.98768683136838
2206.TW, RSI(talib): 80.16252460746468
8112.TW, RSI(talib): 66.64154756086444
9941.TW, RSI(talib): 63.17172627219281
2204.TW, RSI(talib): 74.04893825416494
3701.TW, RSI(talib): 61.847635462074734
3008.TW, RSI(talib): 67.50314469141956
6414.TW, RSI(talib): 75.42298014744276
2385.TW, RSI(talib): 81.17328098538444
9910.TW, RSI(talib): 60.6223247179357
3038.TW, RSI(talib): 68.17066209062976
2395.TW, RSI(talib): 60.259137240043906
2421.TW, RSI(talib): 75.64489694937559
3022.TW, RSI(talib): 64.98395575325979
2332.TW, RSI(talib): 69.69915122422108
8926.TW, RSI(talib): 61.95215073170355
6197.TW, RSI(talib): 60.70320879788831
8222.TW, RSI(talib): 60.86392588489294
5225.TW, RSI(talib): 75.87727664351324
3025.TW, RSI(talib): 68.02907343455587
1337.TW, RSI(talib): 74.30072593339422
1519.TW, RSI(talib): 72.43000780367362
4763.TW, RSI(talib): 70.16820112444725
1504.TW, RSI(talib): 69.62812219700572
2530.TW, RSI(talib): 64.20531834743495
1612.TW, RSI(talib): 61.85524787785002
9942.TW, RSI(talib): 71.18382129413209
5284.TW, RSI(talib): 66.83372200142914
8210.TW, RSI(talib): 67.31172663573393
2451.TW, RSI(talib): 64.23770523084109
9917.TW, RSI(talib): 77.40526935532151
6139.TW, RSI(talib): 86.54714711055207
1618.TW, RSI(talib): 65.22282178753129
2903.TW, RSI(talib): 82.01177729942569
2539.TW, RSI(talib): 61.813871869944535
1503.TW, RSI(talib): 74.8513598543482
2022.TW, RSI(talib): 69.95665607342796
2393.TW, RSI(talib): 82.99272929016142
2427.TW, RSI(talib): 83.28653414230004
6243.TW, RSI(talib): 70.07585920719292
2207.TW, RSI(talib): 84.76556760670461
6112.TW, RSI(talib): 74.23976143129863
3032.TW, RSI(talib): 65.09117417341928
5469.TW, RSI(talib): 63.3462636363014
3617.TW, RSI(talib): 84.97712911212741
3058.TW, RSI(talib): 66.91603084099566
1608.TW, RSI(talib): 62.43545752452791
5234.TW, RSI(talib): 63.89207842861278
1616.TW, RSI(talib): 60.45161521306374
3583.TW, RSI(talib): 75.23895157244696
3014.TW, RSI(talib): 75.65015067696025
6214.TW, RSI(talib): 72.53471163270825
5531.TW, RSI(talib): 63.76989964289553
4581.TW, RSI(talib): 68.0895510860177
6698.TW, RSI(talib): 60.18887529094476
2630.TW, RSI(talib): 62.58419666443004
--------------
