2885.TW, RSI(talib): 68.2327314369366
1303.TW, RSI(talib): 62.64022174553261
2357.TW, RSI(talib): 69.84717422250924
2887.TW, RSI(talib): 80.24941922960274
6176.TW, RSI(talib): 62.861472653033246
2376.TW, RSI(talib): 62.82886690093738
3017.TW, RSI(talib): 78.70920700557042
6806.TW, RSI(talib): 61.931061688284615
3231.TW, RSI(talib): 70.29437176668121
2504.TW, RSI(talib): 61.88946350558636
6239.TW, RSI(talib): 64.57812785930301
1731.TW, RSI(talib): 61.05311907784332
1904.TW, RSI(talib): 68.3767342248888
1589.TW, RSI(talib): 66.07976256437928
6005.TW, RSI(talib): 62.20433841759173
6235.TW, RSI(talib): 64.78994815716405
3653.TW, RSI(talib): 64.85802532616741
6191.TW, RSI(talib): 64.73498430656083
4104.TW, RSI(talib): 62.509567713252956
2352.TW, RSI(talib): 70.28364718611257
2731.TW, RSI(talib): 66.64539817095985
3011.TW, RSI(talib): 60.380231126633774
1104.TW, RSI(talib): 78.52814620821906
1907.TW, RSI(talib): 66.19818780927264
2206.TW, RSI(talib): 67.79995150326161
2204.TW, RSI(talib): 70.98034570153477
2385.TW, RSI(talib): 62.834396925409884
2395.TW, RSI(talib): 64.5332000490686
2421.TW, RSI(talib): 78.37306584536104
4746.TW, RSI(talib): 60.994442103293565
3043.TW, RSI(talib): 80.508108967539
3591.TW, RSI(talib): 60.560929241477254
9939.TW, RSI(talib): 70.57519097236661
6438.TW, RSI(talib): 62.59891269682498
3046.TW, RSI(talib): 64.67167585840885
5225.TW, RSI(talib): 60.35631535337248
1519.TW, RSI(talib): 62.88227451427764
2387.TW, RSI(talib): 77.32293516653228
4763.TW, RSI(talib): 64.07483034874423
1504.TW, RSI(talib): 62.9443044391757
2530.TW, RSI(talib): 70.1812478324324
1905.TW, RSI(talib): 78.24636837746326
9942.TW, RSI(talib): 68.34958000838908
5284.TW, RSI(talib): 67.50332134084024
6139.TW, RSI(talib): 61.15741837739171
1720.TW, RSI(talib): 60.62504667144402
1618.TW, RSI(talib): 62.02046532099972
2539.TW, RSI(talib): 69.92766069780292
1783.TW, RSI(talib): 62.043857553022576
1503.TW, RSI(talib): 74.76018432276764
2022.TW, RSI(talib): 73.11224812785177
1215.TW, RSI(talib): 60.818484687482744
2471.TW, RSI(talib): 63.44248567326159
6243.TW, RSI(talib): 69.94681435467245
3056.TW, RSI(talib): 66.59186834019746
6112.TW, RSI(talib): 84.09287001999242
5469.TW, RSI(talib): 61.592766171374436
3617.TW, RSI(talib): 60.53389793911692
4306.TW, RSI(talib): 65.15949852281581
3058.TW, RSI(talib): 70.66913080204188
3014.TW, RSI(talib): 74.68565444422033
6214.TW, RSI(talib): 80.60777967616455
--------------
