2356.TW, RSI(talib): 71.65711267481572
2353.TW, RSI(talib): 62.90250272455471
2885.TW, RSI(talib): 68.76914522902314
9958.TW, RSI(talib): 60.948547228277135
2330.TW, RSI(talib): 73.16878176565008
2881.TW, RSI(talib): 61.35926062517658
2408.TW, RSI(talib): 65.38912933894181
3042.TW, RSI(talib): 66.1151614469265
3533.TW, RSI(talib): 62.32253058355391
2377.TW, RSI(talib): 68.27592395370348
3711.TW, RSI(talib): 62.04475871275152
2357.TW, RSI(talib): 61.67284946557615
2887.TW, RSI(talib): 66.92546118810928
2303.TW, RSI(talib): 60.18978020819568
3714.TW, RSI(talib): 63.75780141258183
1795.TW, RSI(talib): 62.46021358607251
2323.TW, RSI(talib): 86.24820049909631
6176.TW, RSI(talib): 72.64588530048695
6531.TW, RSI(talib): 65.6957843596593
2376.TW, RSI(talib): 79.01390887960498
2329.TW, RSI(talib): 62.932882259269796
3037.TW, RSI(talib): 66.73312733380924
4938.TW, RSI(talib): 77.25240880323406
3017.TW, RSI(talib): 69.9175572175768
8163.TW, RSI(talib): 65.47391422394477
2371.TW, RSI(talib): 75.7139925934571
3023.TW, RSI(talib): 65.90305125030208
2344.TW, RSI(talib): 62.80415725265487
3044.TW, RSI(talib): 64.66968934828773
2454.TW, RSI(talib): 71.94300434570042
2404.TW, RSI(talib): 63.25977764672821
5243.TW, RSI(talib): 73.1142557718393
3231.TW, RSI(talib): 79.02530299295734
3704.TW, RSI(talib): 65.28854856111013
2201.TW, RSI(talib): 64.75487638429172
6239.TW, RSI(talib): 73.48965518430539
1731.TW, RSI(talib): 64.1351555252322
5706.TW, RSI(talib): 75.56485399359141
3661.TW, RSI(talib): 71.16112775921599
2345.TW, RSI(talib): 71.9827274840781
2308.TW, RSI(talib): 63.47919004065263
6005.TW, RSI(talib): 65.29798454105553
6235.TW, RSI(talib): 67.07689144144952
2457.TW, RSI(talib): 61.460955829666595
3653.TW, RSI(talib): 85.02856233864901
2449.TW, RSI(talib): 83.8588830426401
6191.TW, RSI(talib): 67.56624691967649
6278.TW, RSI(talib): 63.028222804194975
6257.TW, RSI(talib): 63.03634523855882
2352.TW, RSI(talib): 80.7382134106749
3443.TW, RSI(talib): 76.23624416669308
6591.TW, RSI(talib): 60.93340060968426
8070.TW, RSI(talib): 60.10919378399508
2425.TW, RSI(talib): 77.41343357004479
6515.TW, RSI(talib): 64.73728226454811
2206.TW, RSI(talib): 78.74333311949218
6669.TW, RSI(talib): 60.709468525178636
8112.TW, RSI(talib): 62.58038262195734
2360.TW, RSI(talib): 76.98718475305974
2204.TW, RSI(talib): 74.40219992502563
8996.TW, RSI(talib): 63.32865748914469
3701.TW, RSI(talib): 62.56627368725778
3013.TW, RSI(talib): 71.84424244585321
2328.TW, RSI(talib): 63.50893145670023
2385.TW, RSI(talib): 73.6608936134016
3038.TW, RSI(talib): 65.89803116631913
2395.TW, RSI(talib): 62.74325483724731
2486.TW, RSI(talib): 60.319593985748355
2421.TW, RSI(talib): 83.40901436794273
2332.TW, RSI(talib): 65.01684781123916
9939.TW, RSI(talib): 60.8956690884532
3029.TW, RSI(talib): 61.62724097169403
2420.TW, RSI(talib): 63.94365666370169
6197.TW, RSI(talib): 69.46721659692923
3380.TW, RSI(talib): 63.55018594927403
3515.TW, RSI(talib): 75.64158713132818
3025.TW, RSI(talib): 73.60213282638594
1519.TW, RSI(talib): 75.36223159616796
1504.TW, RSI(talib): 62.95518922524727
2530.TW, RSI(talib): 66.41710685200528
1612.TW, RSI(talib): 60.323302400371674
5284.TW, RSI(talib): 66.41755665408557
8210.TW, RSI(talib): 80.06212737402171
6409.TW, RSI(talib): 64.26454322044309
2451.TW, RSI(talib): 74.1879068047699
9917.TW, RSI(talib): 60.72134764897642
6139.TW, RSI(talib): 70.36984724080115
2903.TW, RSI(talib): 65.82516275880411
1503.TW, RSI(talib): 77.58657815333662
6691.TW, RSI(talib): 61.37711605675752
2393.TW, RSI(talib): 73.37665110955666
3094.TW, RSI(talib): 63.3514255147265
2427.TW, RSI(talib): 81.31070587606622
6243.TW, RSI(talib): 67.02233786434401
2399.TW, RSI(talib): 74.07051335461861
2207.TW, RSI(talib): 64.69477021759624
3338.TW, RSI(talib): 63.81948658039695
5434.TW, RSI(talib): 74.00596219552472
6112.TW, RSI(talib): 71.43811214793396
5469.TW, RSI(talib): 64.16816166953909
3617.TW, RSI(talib): 77.54481090662831
1608.TW, RSI(talib): 73.746425432404
5234.TW, RSI(talib): 60.437179411526806
3583.TW, RSI(talib): 75.98052235734954
3014.TW, RSI(talib): 78.39569263199262
6214.TW, RSI(talib): 69.49691175942307
5531.TW, RSI(talib): 60.91880784924304
2630.TW, RSI(talib): 69.634666746096
1525.TW, RSI(talib): 87.03824123556191
8271.TW, RSI(talib): 62.30563777308385
--------------
3022.TW failed ('NoneType' object has no attribute 'text').
2355.TW failed (could not convert string to float: 'N/A').
