2353.TW, RSI(talib): 75.84234511136442
2606.TW, RSI(talib): 64.83058588196185
2408.TW, RSI(talib): 64.26761517204251
1513.TW, RSI(talib): 64.23255193184715
2027.TW, RSI(talib): 60.8886547648837
3533.TW, RSI(talib): 63.526196538183854
2377.TW, RSI(talib): 65.93004336400871
2634.TW, RSI(talib): 87.38945338569685
6176.TW, RSI(talib): 65.14775094932641
2834.TW, RSI(talib): 61.801444980052224
2897.TW, RSI(talib): 75.10957288541039
2376.TW, RSI(talib): 63.205191572702226
2329.TW, RSI(talib): 62.6031280645748
4938.TW, RSI(talib): 62.75145484019452
3017.TW, RSI(talib): 74.18366041094207
2208.TW, RSI(talib): 75.40145727605059
3209.TW, RSI(talib): 62.487378368229294
3023.TW, RSI(talib): 63.09646220420028
2344.TW, RSI(talib): 61.21337954047177
9907.TW, RSI(talib): 82.20621120797503
2442.TW, RSI(talib): 64.36600666314587
6285.TW, RSI(talib): 60.45119469085175
3231.TW, RSI(talib): 73.25902427526688
3704.TW, RSI(talib): 63.0871516384117
2201.TW, RSI(talib): 63.30375581608505
1514.TW, RSI(talib): 82.61413971404379
3661.TW, RSI(talib): 64.69545094364126
1762.TW, RSI(talib): 77.77578023194125
2308.TW, RSI(talib): 63.153818691760755
1589.TW, RSI(talib): 62.479195653217225
3712.TW, RSI(talib): 69.9838632025724
6235.TW, RSI(talib): 83.85340605239395
2457.TW, RSI(talib): 89.93455321283096
3653.TW, RSI(talib): 63.222787812843826
8478.TW, RSI(talib): 73.01279371872698
3034.TW, RSI(talib): 64.44381854842031
1808.TW, RSI(talib): 64.35332777308147
6191.TW, RSI(talib): 69.07244389931772
3703.TW, RSI(talib): 66.01549474621757
4104.TW, RSI(talib): 71.71447966963366
8215.TW, RSI(talib): 72.0862093993883
2731.TW, RSI(talib): 83.57624390297313
3019.TW, RSI(talib): 63.49711314780361
1104.TW, RSI(talib): 69.03902945206923
8081.TW, RSI(talib): 70.4706160224512
2206.TW, RSI(talib): 80.05852082923347
6288.TW, RSI(talib): 62.53641285541003
6669.TW, RSI(talib): 67.57123592667311
2482.TW, RSI(talib): 79.68595782482313
3015.TW, RSI(talib): 79.01795537339542
2204.TW, RSI(talib): 74.78195669159156
3013.TW, RSI(talib): 63.15832200510753
6605.TW, RSI(talib): 71.99300112025884
8033.TW, RSI(talib): 78.2613824071939
5222.TW, RSI(talib): 71.80904814709974
4961.TW, RSI(talib): 60.50769733936495
3038.TW, RSI(talib): 79.87685181573323
2421.TW, RSI(talib): 76.72006926896317
2419.TW, RSI(talib): 61.24906150062455
2392.TW, RSI(talib): 67.97161828417853
4746.TW, RSI(talib): 75.2100363116565
3043.TW, RSI(talib): 78.25554554690636
3591.TW, RSI(talib): 67.05044233430839
2439.TW, RSI(talib): 66.82157454338716
6197.TW, RSI(talib): 71.58044721171484
8222.TW, RSI(talib): 83.58511097862316
3380.TW, RSI(talib): 75.60676748404505
6438.TW, RSI(talib): 74.88628737428569
2485.TW, RSI(talib): 73.95570105939035
2231.TW, RSI(talib): 64.42237811382992
3046.TW, RSI(talib): 72.66606956738588
3025.TW, RSI(talib): 83.14782278512078
1519.TW, RSI(talib): 81.97459828516354
2387.TW, RSI(talib): 67.29430711312081
4763.TW, RSI(talib): 82.5926702414303
1504.TW, RSI(talib): 70.70617917976217
2748.TW, RSI(talib): 60.153953604460895
1532.TW, RSI(talib): 66.7239448800887
2530.TW, RSI(talib): 64.76446532124442
1529.TW, RSI(talib): 85.63286613446132
6592.TW, RSI(talib): 84.04935113498719
4572.TW, RSI(talib): 64.69312926080018
2402.TW, RSI(talib): 68.49429129653089
9942.TW, RSI(talib): 72.91396377050138
2413.TW, RSI(talib): 75.47533597808946
2468.TW, RSI(talib): 61.31195139841527
8016.TW, RSI(talib): 61.48192102571832
5284.TW, RSI(talib): 71.77445802157385
5607.TW, RSI(talib): 72.62055018523318
2495.TW, RSI(talib): 66.39205952735607
6416.TW, RSI(talib): 60.737444427668784
2355.TW, RSI(talib): 60.48460613697662
3419.TW, RSI(talib): 64.61432410684996
1810.TW, RSI(talib): 85.03374603110093
1417.TW, RSI(talib): 66.8169457436634
1707.TW, RSI(talib): 64.29238328521556
4916.TW, RSI(talib): 64.68467891166209
1752.TW, RSI(talib): 85.28100477762798
1720.TW, RSI(talib): 77.54464410937078
1618.TW, RSI(talib): 77.83815523892405
2539.TW, RSI(talib): 63.52088262681214
1512.TW, RSI(talib): 63.100461034885036
6142.TW, RSI(talib): 76.43328449902626
1809.TW, RSI(talib): 76.58011781911787
1503.TW, RSI(talib): 71.34412758464333
6691.TW, RSI(talib): 68.80611765662655
2739.TW, RSI(talib): 73.55797543886277
1215.TW, RSI(talib): 84.94213408026818
2471.TW, RSI(talib): 75.94138643792066
2453.TW, RSI(talib): 75.5085616970535
3056.TW, RSI(talib): 81.02986329681917
4119.TW, RSI(talib): 75.59285038977447
2645.TW, RSI(talib): 79.05035879629749
3652.TW, RSI(talib): 64.22964024165235
6753.TW, RSI(talib): 73.90662971144539
6112.TW, RSI(talib): 74.94219305065909
3032.TW, RSI(talib): 82.203520657262
5469.TW, RSI(talib): 68.79083865563338
1108.TW, RSI(talib): 73.42653152896584
1535.TW, RSI(talib): 79.91571984928456
3617.TW, RSI(talib): 62.12670389851836
4306.TW, RSI(talib): 79.12010099676026
3058.TW, RSI(talib): 76.55510485955813
4566.TW, RSI(talib): 73.02974714147483
3004.TW, RSI(talib): 75.42496533147383
--------------
4960.TW failed (index 0 is out of bounds for axis 0 with size 0).
