2347.TW, RSI(talib): 65.91890390129558
2881.TW, RSI(talib): 64.16512440440924
2377.TW, RSI(talib): 65.48096623280458
2357.TW, RSI(talib): 69.86463443617406
2887.TW, RSI(talib): 78.59589266344003
2834.TW, RSI(talib): 60.82936246018459
3017.TW, RSI(talib): 62.20636705059548
3023.TW, RSI(talib): 64.92986678179763
6239.TW, RSI(talib): 62.49118896194968
1731.TW, RSI(talib): 71.68804511626203
6235.TW, RSI(talib): 60.25727673318821
6191.TW, RSI(talib): 66.51106777995078
2352.TW, RSI(talib): 67.70266949024094
2731.TW, RSI(talib): 62.403662408244976
2206.TW, RSI(talib): 70.576947746287
6414.TW, RSI(talib): 68.76516802901283
2385.TW, RSI(talib): 69.96078738530811
2395.TW, RSI(talib): 61.54739046664481
2421.TW, RSI(talib): 69.43882165524762
3022.TW, RSI(talib): 65.9246665697599
3046.TW, RSI(talib): 60.78317035736058
5225.TW, RSI(talib): 64.07185454031021
1337.TW, RSI(talib): 75.05382356564589
1519.TW, RSI(talib): 62.094254250519896
4763.TW, RSI(talib): 62.13831005658723
1504.TW, RSI(talib): 61.657060544558064
2530.TW, RSI(talib): 68.8697126075632
1905.TW, RSI(talib): 62.3534666103979
9942.TW, RSI(talib): 68.65685333034088
5284.TW, RSI(talib): 74.03978854358509
6139.TW, RSI(talib): 82.77224409681368
2903.TW, RSI(talib): 67.26092913213247
1503.TW, RSI(talib): 61.703908769760915
2022.TW, RSI(talib): 74.35564982664809
2393.TW, RSI(talib): 67.52850176870217
2207.TW, RSI(talib): 74.92258018334435
3715.TW, RSI(talib): 63.19121376862154
6112.TW, RSI(talib): 68.71695925375384
3617.TW, RSI(talib): 67.48086075321315
3014.TW, RSI(talib): 69.60388879668102
6214.TW, RSI(talib): 79.50592813431155
3308.TW, RSI(talib): 70.99311633071757
4581.TW, RSI(talib): 69.98029659278689
--------------
