2324.TW, RSI(talib): 63.2853151057209
2356.TW, RSI(talib): 68.98285369133549
2618.TW, RSI(talib): 73.93149466217844
2891.TW, RSI(talib): 69.10595074136893
2353.TW, RSI(talib): 60.052782148433124
2885.TW, RSI(talib): 62.636436432381274
2301.TW, RSI(talib): 66.63198745876598
2330.TW, RSI(talib): 64.50971496755432
2382.TW, RSI(talib): 77.58062479084916
1513.TW, RSI(talib): 75.5036871028481
3481.TW, RSI(talib): 72.94546282666742
2455.TW, RSI(talib): 71.71159558163154
2610.TW, RSI(talib): 85.17033508382303
3042.TW, RSI(talib): 80.10965288945376
6116.TW, RSI(talib): 66.51104298826664
2377.TW, RSI(talib): 60.203637223584124
3711.TW, RSI(talib): 71.19713789552816
2887.TW, RSI(talib): 73.09189117579174
2303.TW, RSI(talib): 67.13722811207282
2886.TW, RSI(talib): 68.88485615542298
1734.TW, RSI(talib): 70.36817660152624
3035.TW, RSI(talib): 75.94387343000467
1789.TW, RSI(talib): 66.88725803092098
2634.TW, RSI(talib): 67.20805110740272
4106.TW, RSI(talib): 61.418648912417005
2323.TW, RSI(talib): 86.75547021523322
6176.TW, RSI(talib): 64.02331221040653
2376.TW, RSI(talib): 85.76508298148123
2329.TW, RSI(talib): 70.1332769412093
3037.TW, RSI(talib): 64.76963962649408
4934.TW, RSI(talib): 65.13716493632175
2368.TW, RSI(talib): 73.97091986815693
3017.TW, RSI(talib): 75.27630271502206
2351.TW, RSI(talib): 61.36638770433835
3596.TW, RSI(talib): 66.32631993416173
2401.TW, RSI(talib): 68.56551353759343
4755.TW, RSI(talib): 66.1317764941969
2371.TW, RSI(talib): 89.44106853307449
3023.TW, RSI(talib): 60.31440214412191
2344.TW, RSI(talib): 61.51560109547166
1609.TW, RSI(talib): 64.95168880821612
1217.TW, RSI(talib): 71.91085385265163
1477.TW, RSI(talib): 79.3887179231442
6285.TW, RSI(talib): 63.70118956431452
3231.TW, RSI(talib): 78.10430250784742
2383.TW, RSI(talib): 74.21347253741618
1533.TW, RSI(talib): 63.574813332023524
2702.TW, RSI(talib): 74.59638077726417
5258.TW, RSI(talib): 68.71996873478213
6239.TW, RSI(talib): 68.2798692468935
1514.TW, RSI(talib): 66.62904462221387
5706.TW, RSI(talib): 63.929118925843945
3661.TW, RSI(talib): 66.36047599925257
2308.TW, RSI(talib): 72.52399942711806
6235.TW, RSI(talib): 69.45660842233127
3653.TW, RSI(talib): 68.92975214861885
2449.TW, RSI(talib): 68.29417796660556
6191.TW, RSI(talib): 75.68260789818471
6257.TW, RSI(talib): 60.10242546517426
2352.TW, RSI(talib): 77.05743977037366
3443.TW, RSI(talib): 67.48598961350463
8215.TW, RSI(talib): 64.4368789327626
9919.TW, RSI(talib): 73.26646947595056
3702.TW, RSI(talib): 72.1988318796325
4952.TW, RSI(talib): 62.185542949355465
2049.TW, RSI(talib): 62.774113997637684
1522.TW, RSI(talib): 79.82033923822361
2489.TW, RSI(talib): 65.67994784416578
1104.TW, RSI(talib): 66.0194867561912
2425.TW, RSI(talib): 74.04661005087729
3673.TW, RSI(talib): 68.34177114861266
1907.TW, RSI(talib): 62.96926764569911
2206.TW, RSI(talib): 66.65376391327894
8112.TW, RSI(talib): 61.245399917723375
2360.TW, RSI(talib): 72.19474390668907
8996.TW, RSI(talib): 74.0475258019388
3013.TW, RSI(talib): 61.937352579264704
6605.TW, RSI(talib): 70.21062481865614
2428.TW, RSI(talib): 70.09854746965321
6412.TW, RSI(talib): 61.08010184480612
6196.TW, RSI(talib): 65.35158405377584
6164.TW, RSI(talib): 64.03745732605196
6414.TW, RSI(talib): 64.86986490535799
1432.TW, RSI(talib): 64.24059028115404
1528.TW, RSI(talib): 74.81041401612217
6120.TW, RSI(talib): 92.68001330997741
3038.TW, RSI(talib): 60.035779633715094
1471.TW, RSI(talib): 83.34069196443976
2395.TW, RSI(talib): 63.34486668810819
2486.TW, RSI(talib): 82.79853876480567
2421.TW, RSI(talib): 67.62634784301778
2419.TW, RSI(talib): 62.20573419805753
3005.TW, RSI(talib): 64.03326085093369
