CMCSA, RSI(talib): 68.71020830220267
CHTR, RSI(talib): 75.7030836287838
BKNG, RSI(talib): 70.03262899321943
ATVI, RSI(talib): 62.91241305473619
MAR, RSI(talib): 70.03776254122013
CTSH, RSI(talib): 61.442830548503736
VRSK, RSI(talib): 60.80783087252411
BRK-B, RSI(talib): 62.86728555966285
BA, RSI(talib): 65.63283360257809
LLY, RSI(talib): 80.06925277320344
WMT, RSI(talib): 65.07589720988399
BKR, RSI(talib): 69.3259148591759
--------------
