GOOG, RSI(talib): 65.84861599609759
GOOGL, RSI(talib): 66.01270870612719
COST, RSI(talib): 60.35630469373026
MU, RSI(talib): 60.16603739681543
REGN, RSI(talib): 63.8002964187637
VRTX, RSI(talib): 62.2094549067302
VRSK, RSI(talib): 62.49436351108362
SGEN, RSI(talib): 65.04068998651796
CEG, RSI(talib): 62.16975315195877
BRK-B, RSI(talib): 71.61174576055656
LLY, RSI(talib): 62.33395161964077
--------------
